Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
0003,Algebra I,All Students,141.0,23.4,44.0,24.8,7.8
0003,Algebra I,Historically Underperforming,58.0,12.1,32.8,39.7,15.5
0003,Biology,All Students,142.0,16.9,44.4,23.2,15.5
0003,Biology,Historically Underperforming,59.0,6.8,35.6,30.5,27.1
0003,Literature,All Students,142.0,12.0,68.3,16.2,3.5
0003,Literature,Historically Underperforming,59.0,3.4,59.3,28.8,8.5
0017,Algebra I,All Students,267.0,30.7,51.3,12.0,6.0
0017,Algebra I,Historically Underperforming,105.0,15.2,49.5,21.9,13.3
0017,Biology,All Students,270.0,35.6,40.0,17.4,7.0
0017,Biology,Historically Underperforming,106.0,22.6,32.1,31.1,14.2
0017,Literature,All Students,276.0,5.8,70.7,17.4,6.2
0017,Literature,Historically Underperforming,110.0,2.7,52.7,30.0,14.5
6269,Algebra I,All Students,77.0,18.2,44.2,27.3,10.4
6269,Algebra I,Historically Underperforming,18.0,0.0,27.8,27.8,44.4
6269,Biology,All Students,77.0,22.1,37.7,23.4,16.9
6269,Biology,Historically Underperforming,18.0,5.6,16.7,11.1,66.7
6269,Literature,All Students,77.0,7.8,66.2,11.7,14.3
6269,Literature,Historically Underperforming,18.0,5.6,22.2,22.2,50.0
6271,Algebra I,All Students,199.0,23.1,49.2,23.6,4.0
6271,Algebra I,Historically Underperforming,82.0,7.3,46.3,37.8,8.5
6271,Biology,All Students,198.0,33.3,40.4,18.7,7.6
6271,Biology,Historically Underperforming,83.0,16.9,41.0,27.7,14.5
6271,Literature,All Students,199.0,9.0,73.4,15.1,2.5
6271,Literature,Historically Underperforming,83.0,6.0,61.4,26.5,6.0
0014,Algebra I,All Students,167.0,30.5,56.9,11.4,1.2
0014,Algebra I,Historically Underperforming,58.0,20.7,51.7,24.1,3.4
0014,Biology,All Students,167.0,35.9,41.9,16.8,5.4
0014,Biology,Historically Underperforming,58.0,25.9,31.0,31.0,12.1
0014,Literature,All Students,165.0,18.2,73.3,8.5,0.0
0014,Literature,Historically Underperforming,57.0,12.3,64.9,22.8,0.0
0021,Algebra I,All Students,99.0,23.2,46.5,23.2,7.1
0021,Algebra I,Historically Underperforming,43.0,11.6,41.9,30.2,16.3
0021,Biology,All Students,99.0,51.5,28.3,14.1,6.1
0021,Biology,Historically Underperforming,43.0,39.5,23.3,23.3,14.0
0021,Literature,All Students,101.0,7.9,69.3,16.8,5.9
0021,Literature,Historically Underperforming,45.0,6.7,60.0,20.0,13.3
5273,Algebra I,All Students,10.0,,,,
5273,Algebra I,Historically Underperforming,7.0,,,,
5273,Biology,All Students,12.0,0.0,16.7,58.3,25.0
5273,Biology,Historically Underperforming,8.0,,,,
5273,Literature,All Students,10.0,,,,
5273,Literature,Historically Underperforming,7.0,,,,
