2020-21 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
226510232,Alpha House Nursery & Kdg,Philadelphia,Philadelphia City SD,0.00
228320009,Ambrose Amish Par,Indiana,Marion Center Area SD,0.00
213360074,Amish Road School,Lancaster,Pequea Valley SD,0.00
213360402,Amsterdam School,Lancaster,Eastern Lancaster County SD,0.00
213363498,Anchor Christian Academy,Lancaster,Lancaster SD,23.80
212280303,Anchor Christian Day School,Franklin,Chambersburg Area SD,0.00
223460502,Ancillae Assumpta Academy,Montgomery,Cheltenham SD,2.50
300230110,Ancona Montessori School Drexel Hill,Delaware,Upper Darby SD,0.00
208561055,Apostolic Christian Academy,Somerset,Somerset Area SD,0.00
213360452,Apple Grove School,Lancaster,Eastern Lancaster County SD,0.00
204370254,Apple Grove School,Lawrence,Wilmington Area SD,0.00
207650205,Aquinas Academy,Westmoreland,Greensburg Salem SD,22.90
203020355,Aquinas Academy,Allegheny,Hampton Township SD,8.80
300157550,ARC of Chester County,Chester,West Chester Area SD,0.00
203023295,Archangel Gabriel School,Allegheny,Montour SD,18.60
225230602,Archbishop John Carroll HS,Delaware,Radnor Township SD,0.00
226510452,Archbishop Ryan High School,Philadelphia,Philadelphia City SD,12.50
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,2.50
207650755,Armbrust Wesleyan Christian Academy,Westmoreland,Mount Pleasant Area SD,41.20
300460220,Armenian Sisters Academy,Montgomery,Upper Merion Area SD,0.00
224150262,Ashville,Lancaster,Solanco SD,0.00
224150272,Ashville Parochial School,Chester,Oxford Area SD,0.00
303023285,Aspire Nursery School,Allegheny,Pittsburgh SD,0.00
224155052,Assumption Academy,Chester,Tredyffrin-Easttown SD,0.00
224150502,Assumption BVM School,Chester,Avon Grove SD,0.00
229548702,Assumption BVM School,Schuylkill,Pottsville Area SD,22.10
322090040,ATG Learning Academy,Bucks,Central Bucks SD,0.00
205200204,Atlantic Amish School,Crawford,Conneaut SD,0.00
216490004,Augustaville Amish Parochial School,Northumberland,Shikellamy SD,0.00
228320555,Aultman Baptist Church Academy,Indiana,Homer-Center SD,0.00
214066792,Autumn Ridge Mennonite School,Berks,Conrad Weiser Area SD,0.00
203028105,Ave Maria Academy-Bethel Park Campus,Allegheny,Bethel Park SD,24.60
224150562,Avon Grove Nazarene Academy,Chester,Avon Grove SD,0.00
211441003,Back Mountain Amish School,Mifflin,Mifflin County SD,0.00
219350001,Bais Yaakov of Scranton,Lackawanna,Scranton SD,83.30
203029112,Bakerstown UMC Day School,Allegheny,Pine-Richland SD,0.00
300460900,Bala House Montessori,Montgomery,Lower Merion SD,13.60
210180503,Bald Eagle Boys Camp School,Clinton,Keystone Central SD,12.50
217410002,Bald Eagle School,Lycoming,Montgomery Area SD,0.00
216190000,Bald Hill School,Columbia,Millville Area SD,0.00
223469252,Baldwin School,Montgomery,Lower Merion SD,2.70
216550000,Bannerville Hill Amish School,Snyder,Midd-West SD,0.00
211440008,Barefoot School,Mifflin,Mifflin County SD,0.00
211441203,Barrville Amish School,Mifflin,Mifflin County SD,0.00
213360565,Bartview School,Lancaster,Solanco SD,0.00
213360602,Bartville Amish School,Lancaster,Solanco SD,0.00
206330014,Bear Lane School,Jefferson,Punxsutawney Area SD,0.00
206160000,Bear Run School,Clarion,Keystone SD,0.00
213366841,Beartown School,Lancaster,Eastern Lancaster County SD,0.00
227040805,Beaver Co Christian Sch -Upper,Beaver,Big Beaver Falls Area SD,17.70
227042850,Beaver Co Christian School Lower,Beaver,Big Beaver Falls Area SD,23.50
213360612,Beaver Dam School,Lancaster,Pequea Valley SD,0.00
216490103,Beaver Run Parochial School,Montour,Warrior Run SD,0.00
216600503,Beaver Run School,Union,Lewisburg Area SD,0.00
213360582,Beaver Valley Amish Paroch Sch,Lancaster,Lampeter-Strasburg SD,0.00
205620254,Beaver Valley Amish School,Warren,Warren County SD,0.00
300041580,Beaver Valley Montessori School,Beaver,Beaver Area SD,0.00
213360622,Beilers School,Lancaster,Pequea Valley SD,0.00
213360592,Bell School,Lancaster,Solanco SD,0.00
213360016,Bellaire Ridge School,Lancaster,Elizabethtown Area SD,0.00
300140500,Bellefonte Playschool of FUMC,Centre,Bellefonte Area SD,0.00
211441053,Belleville Mennonite School,Mifflin,Mifflin County SD,24.90
213360632,Belmont Special Education Sch,Lancaster,Pequea Valley SD,0.00
300230300,Benchmark School,Delaware,Rose Tree Media SD,0.00
310140003,Bennett Family Center,Centre,State College Area SD,0.00
214062752,Berks Catholic High School,Berks,Reading SD,37.70
214060782,Berks Christian School,Berks,Exeter Township SD,25.00
224150003,Beth Israel Kindergarten,Chester,Downingtown Area SD,0.00
219353289,Beth Shalom Academy,Lackawanna,Scranton SD,46.20
224150922,Bethany Christian School,Chester,Oxford Area SD,31.00
213360572,Bethany Parochial School,Lancaster,Eastern Lancaster County SD,0.00
300250720,Bethel Christian School of Erie,Erie,Erie City SD,41.20
214060602,Bethel Dunkard Breth Chrst Sch,Berks,Tulpehocken Area SD,0.00
213360712,Bethel Mennonite School,Lancaster,Solanco SD,0.00
300650750,Bethel Nursery School,Westmoreland,Burrell SD,0.00
220480502,Bethlehem Catholic High School,Northampton,Bethlehem Area SD,19.80
220480532,Bethlehem Christian School,Northampton,Bethlehem Area SD,0.00
220480552,Bethlehem Christian School,Northampton,Bethlehem Area SD,0.00
226510695,Beulah Bapt Christian Day Sch,Philadelphia,Philadelphia City SD,0.00
201260755,Bible Baptist Academy,Fayette,Uniontown Area SD,100.00
212671503,Bible Baptist Christian Academy,York,Northeastern York SD,0.00
207650905,Bible Baptist Chrst Academy,Westmoreland,Greater Latrobe SD,12.40
300518770,Big Backyard,Philadelphia,Philadelphia City SD,0.00
224153164,Birdell School,Chester,Coatesville Area SD,0.00
202021005,Bishop Canevin High School,Allegheny,Pittsburgh SD,19.10
202025455,Bishop Canevin HS,Allegheny,Pittsburgh SD,44.40
208110505,Bishop Carroll High School,Cambria,Central Cambria SD,8.50
208071005,Bishop Guilfoyle Catholic High School,Blair,Altoona Area SD,16.20
208110755,Bishop McCort High School,Cambria,Greater Johnstown SD,14.80
215221003,Bishop McDevitt High School,Dauphin,Central Dauphin SD,19.90
223460702,Bishop McDevitt High School,Montgomery,Cheltenham SD,30.80
224151502,Bishop Shanahan High School,Chester,Downingtown Area SD,0.00
213360652,Black Creek School,Lancaster,Eastern Lancaster County SD,0.00
211341503,Black Rock Amish School,Juniata,Juniata County SD,0.00
213360066,Blackhorse School,Lancaster,Pequea Valley SD,0.00
226510682,Blair Christian Acad & Presch,Philadelphia,Philadelphia City SD,55.30
208071055,Blair County Christian School,Blair,Hollidaysburg Area SD,0.00
203025445,Blessed Francis Seelos Academy,Allegheny,Pine-Richland SD,24.30
205250504,Blessed Sacrament School,Erie,Erie City SD,38.30
203027365,Blessed Trinity Academy,Allegheny,Fox Chapel Area SD,24.10
226519422,Blessed Trinity Regional Catholic School,Philadelphia,Philadelphia City SD,54.50
225231202,Blessed Virgin Mary School,Delaware,William Penn SD,0.00
205201204,Blooming Valley Mennonite School,Crawford,Penncrest SD,0.00
216190503,Bloomsburg Christian School,Columbia,Bloomsburg Area SD,100.00
206330010,Blose Hill Amish School,Jefferson,Punxsutawney Area SD,0.00
212670001,Blue Bird Meadow School,York,South Eastern SD,0.00
214061052,Blue Mountain Academy,Berks,Hamburg Area SD,36.80
214061002,Blue Mountain SDA Elementary Sch,Berks,Hamburg Area SD,22.20
214061082,Blue Mountain View Paroch Sch,Berks,Tulpehocken Area SD,0.00
213383303,Blue Mt Christian School,Lebanon,Northern Lebanon SD,0.00
215210000,Blue Ridge Mennonite,Cumberland,Carlisle Area SD,0.00
210140493,Bower Hollow Parochial Sch,Centre,Penns Valley Area SD,0.00
209420254,Bradford Area Christian Academy,McKean,Bradford Area SD,30.00
300630351,Bradley School,Allegheny,Montour SD,63.30
205250002,Breezeway Amish School,Erie,Northwestern SD,0.00
224150017,Breezewood Amish School,Chester,Octorara Area SD,0.00
214064980,Breezy Corner Parochial School,Berks,Brandywine Heights Area SD,0.00
211340000,Breezy Hollow Amish School,Juniata,Juniata County SD,0.00
228321055,Breezy Lane School,Indiana,United SD,0.00
216470003,Breezy Meadows School,Montour,Warrior Run SD,0.00
213360682,Brick Amish School,Lancaster,Solanco SD,0.00
300512140,Bridge School,Philadelphia,Philadelphia City SD,100.00
326510170,Bridge Way School,Philadelphia,Philadelphia City SD,88.90
205201404,Bridgeview Amish School,Crawford,Conneaut SD,0.00
216600603,Bridgeville Parochial School,Union,Mifflinburg Area SD,0.00
213360722,Bridgeville School,Lancaster,Eastern Lancaster County SD,0.00
300461160,Bright Spot Child Care,Montgomery,Perkiomen Valley SD,0.00
205201304,Britton Run Amish School,Crawford,Corry Area SD,0.00
212670008,Brook Side Amish School,Franklin,Fannett-Metal SD,0.00
300061370,Brookeside Montessori,Berks,Boyertown Area SD,18.20
213380978,Brookside Amish School,Lebanon,Eastern Lebanon County SD,0.00
223460009,Brookside School,Lycoming,Montgomery Area SD,0.00
213360822,Brunners Grove School,Lancaster,Cocalico SD,0.00
205611104,Brush Run Amish School,Crawford,Titusville Area SD,0.00
223460732,Bryn Athyn Church School,Montgomery,Bryn Athyn SD,0.00
213360832,Buck Hill School,Lancaster,Pequea Valley SD,0.00
206330013,Buck Run School,Jefferson,Punxsutawney Area SD,0.00
213360732,Buck View School,Lancaster,Solanco SD,0.00
222099102,Buckingham Friends School,Bucks,Central Bucks SD,0.00
322090080,Bucks Learning Academy,Bucks,Central Bucks SD,0.00
213360752,Buena Vista Amish School,Lancaster,Pequea Valley SD,0.00
216601113,Buffalo Creek Parochial School,Union,Mifflinburg Area SD,0.00
213380603,Buffalo Springs Parochial Sch,Lebanon,Cornwall-Lebanon SD,0.00
213360762,Bunker Hill Amish School,Lancaster,Lampeter-Strasburg SD,0.00
206170000,Butchers Run Amish School,Clearfield,DuBois Area SD,0.00
204101004,Butler Catholic School,Butler,Butler Area SD,9.10
304100003,Butler Montessori School,Butler,Butler Area SD,0.00
300391080,Buxmont Academy,Northampton,Bethlehem Area SD,0.00
300090635,Buxmont Academy,Bucks,Neshaminy SD,60.00
300091200,Buxmont Academy,Bucks,Pennridge SD,36.40
323460019,Buxmont Academy,Montgomery,Pottsgrove SD,0.00
325230005,Buxmont Academy,Delaware,Ridley SD,0.00
213360742,Byerland School,Lancaster,Penn Manor SD,0.00
213360772,Byerstown School,Lancaster,Pequea Valley SD,0.00
321392757,CAI Learning Academy,Lehigh,Allentown City SD,100.00
213360842,Calamus Run School,Lancaster,Conestoga Valley SD,0.00
204101324,Calvary Academy,Butler,Butler Area SD,0.00
228321505,Calvary Baptist Academy,Indiana,Purchase Line SD,0.00
223460752,Calvary Baptist School,Montgomery,North Penn SD,5.10
215213714,Calvary Chapel Christian Academy,Cumberland,West Shore SD,0.00
201633600,Calvary Chapel Christian School,Washington,Brownsville Area SD,0.00
211311903,Calvary Christian Academy,Huntingdon,Huntingdon Area SD,2.60
226510732,Calvary Christian Academy,Philadelphia,Philadelphia City SD,0.00
213360792,Calvary Christian Academy,Lancaster,Solanco SD,0.00
207651165,Calvary Christian Sch-Kdg,Westmoreland,Norwin SD,0.00
300090645,Calvary Christian School,Bucks,Pennsbury SD,2.50
207651185,Calvary Early Learning Center,Westmoreland,Franklin Regional SD,0.00
216600002,Calvary Holiness Academy,Union,Mifflinburg Area SD,0.00
208115905,Cambria County Christian School,Cambria,Central Cambria SD,83.30
213360782,Camebridge Parochial School,Lancaster,Pequea Valley SD,0.00
324150066,Camphill School,Chester,Owen J Roberts SD,91.70
300150600,Camphill School,Chester,West Chester Area SD,66.70
202021105,Campus Lab School of Carlow University,Allegheny,Pittsburgh SD,3.40
219641101,Canaan Christian Academy,Wayne,Western Wayne SD,0.00
228320003,Canoe Ridge Amish School,Indiana,Punxsutawney Area SD,0.00
217080001,Canton Country School,Bradford,Canton Area SD,0.00
225237602,Cardinal John Foley Regional Catholic,Delaware,Haverford Township SD,0.00
225231602,Cardinal Ohara High School,Delaware,Marple Newtown SD,1.80
213360011,Cardinal Wing School,Lancaster,Solanco SD,0.00
300425080,CARE for Children Rainbow Corner Preschool,McKean,Bradford Area SD,0.00
215210902,Carlisle Christian Academy,Cumberland,South Middleton SD,13.80
300211050,Carlisle Community Nursery School,Cumberland,Carlisle Area SD,0.00
203020012,Carnegie Mellon University Childrens School,Allegheny,Pittsburgh SD,26.30
300021560,Carriage House Childrens Ctr,Allegheny,Pittsburgh SD,0.00
300461460,Carson Valley Childrens Aid,Montgomery,Springfield Township SD,100.00
300461450,Carson Valley Childrens Aid-Schoolhouse,Montgomery,Springfield Township SD,0.00
213360058,Cattail Parochial School,Lancaster,Pequea Valley SD,0.00
326514508,CB Community Schools,Philadelphia,Philadelphia City SD,100.00
226510912,Cedar Grove Chr Acad Lower Sch,Philadelphia,Philadelphia City SD,58.80
213360003,Cedar Hill Amish School,Lancaster,Pequea Valley SD,0.00
208110955,Cedar Hollow School,Indiana,United SD,0.00
215210442,Cedar Knoll Parochial,Cumberland,Shippensburg Area SD,0.00
211340009,Cedar Springs Parochial School,Juniata,Juniata County SD,0.00
213365572,Cedar Valley Amish School,Lancaster,Solanco SD,0.00
211348906,Cedar View School,Juniata,Juniata County SD,0.00
300481400,Centennial School Lehigh Univ,Lehigh,Bethlehem Area SD,62.30
308110135,Center for Achievement,Cambria,Greater Johnstown SD,0.00
213360862,Center Grove School,Lancaster,Eastern Lancaster County SD,0.00
213360902,Center Parochial School,Lancaster,Eastern Lancaster County SD,0.00
300461610,Center School,Montgomery,Abington SD,0.00
213360932,Center Square School,Lancaster,Conestoga Valley SD,0.00
213360952,Centerville Amish School,Lancaster,Pequea Valley SD,0.00
202021305,Central Catholic,Allegheny,Pittsburgh SD,3.90
201631605,Central Christian Academy,Washington,Chartiers-Houston SD,18.90
300231300,Central Nursery School,Delaware,Radnor Township SD,0.00
314060037,Centre Avenue Academy,Berks,Reading SD,100.00
210145503,Centre County Christian Academy,Centre,Bellefonte Area SD,0.00
323460017,Centre Square Academy,Montgomery,Wissahickon SD,0.00
300462850,Centre Square Montessori Schoolhouse,Montgomery,Wissahickon SD,0.00
224158702,CFS School At Church Farm,Chester,West Chester Area SD,5.70
300263450,Champion Christian School,Fayette,Connellsville Area SD,64.30
207260000,Champion Christian School -Donegal,Westmoreland,Mount Pleasant Area SD,51.20
300150650,Charlestown Playhouse,Chester,Phoenixville Area SD,0.00
205200304,Chase Road School,Crawford,Crawford Central SD,0.00
223460000,Cheder Chabad Philadelphia,Delaware,Radnor Township SD,75.00
218400003,Cheder Menachem of Wilkes-Barre,Luzerne,Wilkes-Barre Area SD,71.10
224158252,Cherri Knoll School,Chester,Oxford Area SD,0.00
213360972,Cherry Grove School,Lancaster,Ephrata Area SD,0.00
204430434,Cherry Hill School,Mercer,West Middlesex Area SD,0.00
213361002,Cherry Lane Amish School,Lancaster,Conestoga Valley SD,0.00
213381503,Cherry Lane School,Lebanon,Eastern Lebanon County SD,0.00
212670004,Cherry Ridge Amish School,York,Red Lion Area SD,0.00
205200404,Cherry Ridge School,Crawford,Corry Area SD,0.00
216490002,Cherrytown School,Northumberland,Line Mountain SD,0.00
217087296,Cherubs Nest Preschool and Kindergarten,Bradford,Athens Area SD,0.00
215210952,Chestnut Grove Parochial Sch,Cumberland,Shippensburg Area SD,0.00
224151632,Chestnut Hill Amish School,Chester,Octorara Area SD,0.00
213361072,Chestnut Hill School,Lancaster,Cocalico SD,0.00
201261255,Chestnut Ridge Christian Academy,Fayette,Uniontown Area SD,0.00
209530002,Chestnut Ridge School,Potter,Northern Potter SD,0.00
213361042,Chestnut Run School,Lancaster,Cocalico SD,0.00
203020255,Cheswick Christian Academy,Allegheny,Allegheny Valley SD,43.00
300233400,Chichester Kinderschool,Delaware,Chichester SD,0.00
300231410,Child Guidance Elementary Ed Program,Delaware,Rose Tree Media SD,100.00
215210008,Childrens Garden of St Johns Lutheran Church,Cumberland,Mechanicsburg Area SD,50.00
300091120,Childrens House of Bucks Co,Bucks,Pennsbury SD,15.40
300461570,Childrens School At St Johns,Montgomery,Lower Merion SD,11.10
300230800,Childrens School of Cabrini University,Chester,Tredyffrin-Easttown SD,0.00
300091150,Childtowne Montessori School,Bucks,Centennial SD,50.00
216470303,Chillisquaque Valley Parc Sch,Montour,Danville Area SD,0.00
314060029,CHOR Day Academy,Berks,Reading SD,100.00
226511122,Christ Memorial Classical Academy,Delaware,Southeast Delco SD,0.00
224151662,Christ Memorial Lutheran School,Chester,Great Valley SD,0.00
203027965,Christ the Divine Tchr Cath Ac,Allegheny,Fox Chapel Area SD,45.80
207652605,Christ the Divine Teacher School,Westmoreland,Greater Latrobe SD,18.00
226511102,Christ the King School,Philadelphia,Philadelphia City SD,8.80
225231652,Christian Academy,Delaware,Penn-Delco SD,22.60
206611404,Christian Life Academy,Venango,Cranberry Area SD,27.90
208050655,Christian Light School,Bedford,Chestnut Ridge SD,0.00
215211502,Christian School of Grace Baptist Church,Cumberland,Carlisle Area SD,0.00
215221583,Christian School of Harrisburg,Dauphin,Central Dauphin SD,0.00
212672503,Christian School of York,York,Central York SD,13.60
206160001,Christs Dominion Academy,Clarion,Brookville Area SD,33.30
300651860,Chum Nursery School,Westmoreland,Norwin SD,0.00
207650000,Church Christian Academy,Westmoreland,Yough SD,27.30
211441083,Church Lane Amish School,Mifflin,Mifflin County SD,0.00
213361062,Churchtown Parochial School,Lancaster,Eastern Lancaster County SD,0.00
300151904,CIDDS Learning Center,Chester,West Chester Area SD,87.10
300671370,Circle School,Dauphin,Susquehanna Township SD,22.50
226514095,City Kids,Philadelphia,Philadelphia City SD,0.00
212281197,City Light Christian School,Franklin,Waynesboro Area SD,0.00
202025886,City of Bridges High School,Allegheny,Pittsburgh SD,0.00
226515832,City School,Philadelphia,Philadelphia City SD,58.50
226519094,City School,Philadelphia,Philadelphia City SD,54.30
226517510,City School at Fairmount,Philadelphia,Philadelphia City SD,44.00
206160788,Clarion Christian School,Clarion,Clarion-Limestone Area SD,0.00
326510169,Clarke Pennsylvania Inc,Philadelphia,Philadelphia City SD,0.00
215502103,Clarks Run Parochial School,Perry,West Perry SD,0.00
210171534,Clearfield Alliance Christian School,Clearfield,Clearfield Area SD,100.00
212280723,Clearfield Parochial School,Franklin,Shippensburg Area SD,0.00
211441103,Clearview Amish School,Mifflin,Mifflin County SD,0.00
213368902,Clearview Hollow,Lancaster,Solanco SD,0.00
213361082,Clearview Parochial School,Lancaster,Eastern Lancaster County SD,0.00
213361122,Clearview School,Lancaster,Pequea Valley SD,0.00
207651505,Clelian Heights Sch for Excep Children,Westmoreland,Hempfield Area SD,50.00
228325893,Clover Valley Amish School,Indiana,Marion Center Area SD,0.00
224150027,Coaffroath School,Chester,Coatesville Area SD,0.00
206611454,Coal Valley Amish School,Venango,Franklin Area SD,0.00
211340002,Cocolamus Christian Mennonite School,Juniata,Juniata County SD,0.00
211440009,Coffee Run Private Parochial School,Mifflin,Mifflin County SD,0.00
213362083,Collins School,Lancaster,Solanco SD,0.00
213361222,Colonial Amish School,Lancaster,Eastern Lancaster County SD,0.00
216190700,Columbia County Christian School,Columbia,Bloomsburg Area SD,0.00
326512995,Community Council Learning Academy,Philadelphia,Philadelphia City SD,100.00
300250800,Community Country Day School,Erie,Millcreek Township SD,100.00
202021405,Community Day School,Allegheny,Pittsburgh SD,9.30
326510079,Community Partnership School,Philadelphia,Philadelphia City SD,100.00
213361112,Compass School,Lancaster,Pequea Valley SD,0.00
300091245,Comprehensive Learning Center,Bucks,Council Rock SD,0.00
300151120,Concept School,Chester,West Chester Area SD,0.00
213361162,Conestoga Christian School,Lancaster,Eastern Lancaster County SD,11.30
213361172,Conestoga School,Lancaster,Eastern Lancaster County SD,0.00
213361182,Conestoga View School,Lancaster,Conestoga Valley SD,0.00
201261505,Connellsville Area Catholic School,Fayette,Connellsville Area SD,34.50
212280953,Conococheague Creek Amish School,Franklin,Fannett-Metal SD,0.00
222091252,Conwell Egan Catholic HS,Bucks,Bristol Township SD,0.70
300512880,Cooperative Nursery School,Philadelphia,Philadelphia City SD,0.00
224361192,Cooperville Amish School,Lancaster,Solanco SD,0.00
300151300,Copeland Run Academy,Chester,Downingtown Area SD,0.00
314060003,Cornell Abraxas,Berks,Twin Valley SD,100.00
300272000,Cornell Abraxas I Arlene Lissner,Forest,Forest Area SD,0.00
300280100,Cornell Abraxas Leadership Development Program,Franklin,Waynesboro Area SD,95.60
312280000,Cornell Abraxas Youth Center,Franklin,Waynesboro Area SD,95.80
300512620,Cornerstone Christian Academy,Philadelphia,Philadelphia City SD,90.90
300029770,Cornerstone Christian Prep-Wilson Campus,Allegheny,West Mifflin Area SD,83.10
213360081,Cornerstone School,Lancaster,Solanco SD,0.00
212281003,Corpus Christi School,Franklin,Chambersburg Area SD,2.20
223460802,Corpus Christi School,Montgomery,North Penn SD,1.80
205250003,Corry Alliance Academy,Erie,Corry Area SD,25.00
204371004,Cotton School,Lawrence,Wilmington Area SD,0.00
206160004,Country Corners,Clarion,Keystone SD,0.00
223460902,Country Day Sacred Heart,Delaware,Radnor Township SD,0.00
224151572,Country Hillside School,Chester,Oxford Area SD,0.00
213360087,Country Knob School,Lancaster,Octorara Area SD,0.00
216609516,Country Lane Parochial School,Union,Mifflinburg Area SD,0.00
210180002,Country Lane School,Clinton,Keystone Central SD,0.00
213369536,Country Meadow School,Lancaster,Conestoga Valley SD,0.00
210180007,Country View School,Clinton,Keystone Central SD,0.00
215210015,Country View School,Cumberland,Shippensburg Area SD,0.00
213361225,Country View School,Lancaster,Solanco SD,0.00
217410005,Countryside Amish School,Lycoming,Jersey Shore Area SD,0.00
213361232,Countryside Amish School,Lancaster,Pequea Valley SD,0.00
208075430,County Line Parochial School,Blair,Spring Cove SD,0.00
204430004,County Line School,Mercer,Commodore Perry SD,0.00
213381703,County Line School,Lebanon,Eastern Lebanon County SD,0.00
211441183,County Line School,Huntingdon,Huntingdon Area SD,0.00
208071255,Cove Lane Parochial School,Blair,Spring Cove SD,0.00
215221753,Covenant Christian Academy,Dauphin,Susquehanna Township SD,0.00
220480852,Covenant Christian Academy of the Lehigh Valley,Lehigh,Bethlehem Area SD,0.00
223460942,Coventry Christian Schools Inc,Montgomery,Pottsgrove SD,19.00
215210653,Covered Bridge Amish School,Cumberland,Shippensburg Area SD,0.00
210180005,Coyote Ridge Amish School,Clinton,Keystone Central SD,0.00
205250009,COZY CORNERS AMISH SCHOOL,Warren,Warren County SD,0.00
300021860,Crafton Childrens Corner,Allegheny,Keystone Oaks SD,0.00
300021850,Crafton Childrens Corner,Allegheny,Montour SD,0.00
205201504,Crawford Christian Academy,Crawford,Crawford Central SD,29.90
304376697,Cray Education Center,Lawrence,New Castle Area SD,100.00
224151852,Cream School,Chester,Oxford Area SD,0.00
300461670,Creative Beginnings,Montgomery,Abington SD,0.00
204430007,Creative Learning Christian School,Mercer,Mercer Area SD,47.30
226513837,Creative Minds Christian Academy,Philadelphia,Philadelphia City SD,100.00
213361212,Creek Hill School,Lancaster,Conestoga Valley SD,0.00
216470001,Creek Side School,Montour,Warrior Run SD,0.00
226514122,Crefeld School,Philadelphia,Philadelphia City SD,0.00
228320005,Cresswell Mennonite School,Indiana,United SD,0.00
226510080,Cristo Rey Philadelphia High School,Philadelphia,Philadelphia City SD,100.00
206164246,Cropps Corners Amish School,Clarion,Keystone SD,0.00
208561255,Cross Road School,Somerset,Salisbury-Elk Lick SD,0.00
208561265,Cross Road Special School,Somerset,Salisbury-Elk Lick SD,0.00
304430003,Crossroads Boys School,Mercer,Farrell Area SD,100.00
304430004,Crossroads Girls School,Mercer,Farrell Area SD,100.00
213360962,Crystal Springs School,Lancaster,Solanco SD,0.00
212281603,Cumberland Valley Christian School,Franklin,Chambersburg Area SD,0.00
205206788,Cussewago Mennonite School,Crawford,Penncrest SD,0.00
300421500,Custer City Private School,McKean,Bradford Area SD,100.00
300404030,Dallas Little People Day Care,Luzerne,Dallas SD,0.00
300471041,Danville Child Development Center,Montour,Danville Area SD,0.00
316470000,Danville Child Development Center,Montour,Danville Area SD,0.00
300231780,Davidson School,Delaware,Rose Tree Media SD,69.20
300024910,Day School,Allegheny,Pittsburgh SD,16.00
228030000,Daybrook Amish School,Armstrong,Armstrong SD,0.00
213361242,Dayspring Christian Academy,Lancaster,Hempfield SD,12.90
222091802,De La Salle Vocational School,Bucks,Bensalem Township SD,100.00
213361252,Deer Hollow Amish School,Lancaster,Solanco SD,0.00
210181003,Deer Hollow Parochial School,Clinton,Keystone Central SD,0.00
204430001,Deer Run Amish School,Mercer,Mercer Area SD,0.00
228030002,Deer View School,Jefferson,Punxsutawney Area SD,0.00
225231672,Delaware County Christian School,Delaware,Marple Newtown SD,6.80
224150022,Delaware County Christian School - Elem,Chester,Tredyffrin-Easttown SD,13.90
211340006,Delaware Creek School,Juniata,Juniata County SD,0.00
223460982,Delaware Valley Friends School,Chester,Tredyffrin-Easttown SD,5.60
212012003,Delone Catholic High School,Adams,Conewago Valley SD,13.80
300513270,Delta School,Philadelphia,Philadelphia City SD,0.00
226517602,DePaul Catholic School,Philadelphia,Philadelphia City SD,21.90
300022250,DePaul Institute,Allegheny,Mt Lebanon SD,0.00
