2021-22 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,PNP County,District Name,Percent
226510039,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,100.0
300260090,A G Montessori School,Fayette,Laurel Highlands SD,0.00
219357281,Abington Christian Academy,Lackawanna,Valley View SD,34.5
223460102,Abington Friends School,Montgomery,Abington SD,0.00
300460400,Abington Presbyterian Nursery School,Montgomery,Abington SD,0.00
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,17.2
203020115,Abundant Life International School,Allegheny,Northgate SD,100.0
326510076,Academy in Manayunk,Montgomery,Colonial SD,1.5
225230202,Academy of Notre Dame,Delaware,Radnor Township SD,0.00
223460152,Academy of the New Ch Boys,Montgomery,Bryn Athyn SD,0.00
223460162,Academy of the New Church Girls,Montgomery,Bryn Athyn SD,0.00
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,45.1
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,98.3
226511712,Adelaide Educational Academy Center,Philadelphia,Philadelphia City SD,0.00
301260001,Adelphoi Education at Albert Gallatin,Fayette,Connellsville Area SD,100.0
327048329,Adelphoi Education at Beaver,Beaver,Rochester Area SD,100.0
304100017,Adelphoi Education at Butler,Butler,Butler Area SD,80.0
307650036,Adelphoi Education at Hartford Heights,Westmoreland,Norwin SD,100.0
328328469,Adelphoi Education at Indiana,Indiana,Indiana Area SD,70.2
328033370,Adelphoi Education at Kittanning,Armstrong,Armstrong SD,100.0
307655266,Adelphoi Education at Latrobe,Westmoreland,Greater Latrobe SD,100.0
308076091,Adelphoi Education at Williams,Blair,Hollidaysburg Area SD,80.0
225239002,Agnes Irwin School,Delaware,Radnor Township SD,0.00
213360009,Airport View Amish School,Lancaster,Warwick SD,0.00
226510132,Al Aqsa Islamic School,Philadelphia,Philadelphia City SD,95.2
215210009,Al Huda School,Cumberland,West Shore SD,16.4
218400001,Al Noor Islamic Academy,Luzerne,Wilkes-Barre Area SD,37.8
206160034,Alexander Amish School,Clarion,North Clarion County SD,0.00
219359001,All Saints Academy,Lackawanna,Scranton SD,19.3
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,27.7
226510026,All Saints Episcopal School,Philadelphia,Philadelphia City SD,0.00
208057235,Allegheny Valley Christian School,Bedford,Chestnut Ridge SD,0.00
206330012,Allens Mills School,Jefferson,Brockway Area SD,0.00
221390202,Allentown Central Catholic HS,Lehigh,Allentown City SD,16.3
211440003,Allison Gap School,Mifflin,Mifflin County SD,0.00
226510232,Alpha House Nursery & Kdg,Philadelphia,Philadelphia City SD,0.00
228320009,Ambrose Amish Par,Indiana,Marion Center Area SD,0.00
213360074,Amish Road School,Lancaster,Pequea Valley SD,0.00
213360402,Amsterdam School,Lancaster,Eastern Lancaster County SD,0.00
213363498,Anchor Christian Academy,Lancaster,Lancaster SD,22.4
212280303,Anchor Christian Day School,Franklin,Chambersburg Area SD,0.00
223460502,Ancillae Assumpta Academy,Montgomery,Cheltenham SD,1.4
300230110,Ancona Montessori School Drexel Hill,Delaware,Upper Darby SD,0.00
212280503,Antrim Mennonite School,Franklin,Greencastle-Antrim SD,0.00
208561055,Apostolic Christian Academy,Somerset,Somerset Area SD,0.00
213360452,Apple Grove School,Lancaster,Eastern Lancaster County SD,0.00
204370254,Apple Grove School,Lawrence,Wilmington Area SD,0.00
207650205,Aquinas Academy,Westmoreland,Greensburg Salem SD,30.1
203020355,Aquinas Academy,Allegheny,Hampton Township SD,10.7
300157550,ARC of Chester County,Chester,West Chester Area SD,0.00
203023295,Archangel Gabriel School,Allegheny,Montour SD,20.0
225230602,Archbishop John Carroll HS,Delaware,Radnor Township SD,0.00
226510452,Archbishop Ryan High School,Philadelphia,Philadelphia City SD,0.00
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,0.00
207650755,Armbrust Wesleyan Chrst Acad,Westmoreland,Mount Pleasant Area SD,23.5
300460220,Armenian Sisters Academy,Montgomery,Upper Merion Area SD,0.00
224150262,Ashville,Lancaster,Solanco SD,0.00
224150272,Ashville Parochial School,Chester,Oxford Area SD,0.00
303023285,Aspire Nursery School,Allegheny,Pittsburgh SD,0.00
