2019-20 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
226510039,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,100.00
300260090,A G Montessori School,Fayette,Laurel Highlands SD,0.00
325230047,Aardvark Child Care and Learning Center Inc,Delaware,Garnet Valley SD,0.00
219357281,Abington Christian Academy,Lackawanna,Valley View SD,0.00
223460102,Abington Friends School,Montgomery,Abington SD,0.00
300460400,Abington Presbyterian Nursery School,Montgomery,Abington SD,0.00
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,0.00
203020115,Abundant Life International School,Allegheny,Northgate SD,100.00
326510076,Academy in Manayunk,Montgomery,Colonial SD,1.30
225230202,Academy of Notre Dame,Delaware,Radnor Township SD,2.00
223460152,Academy of the New Ch Boys,Montgomery,Bryn Athyn SD,0.00
223460162,Academy of the New Church Girls,Montgomery,Bryn Athyn SD,0.00
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,48.00
300181250,Acorn School,Clinton,Keystone Central SD,0.00
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,0.00
226511712,Adelaide Educational Academy Center,Philadelphia,Philadelphia City SD,100.00
308070011,Adelphoi Education at Altoona,Blair,Altoona Area SD,100.00
304100017,Adelphoi Education at Butler,Butler,Butler Area SD,75.00
301260001,Adelphoi Education at Fairchance,Fayette,Connellsville Area SD,100.00
307650036,Adelphoi Education at Hartford Heights,Westmoreland,Norwin SD,100.00
328328469,Adelphoi Education at Indiana,Indiana,Indiana Area SD,62.80
328033370,Adelphoi Education at Kittanning,Armstrong,Armstrong SD,100.00
307655266,Adelphoi Education Partial Hospitalization,Westmoreland,Greater Latrobe SD,100.00
225239002,Agnes Irwin School,Delaware,Radnor Township SD,0.00
213360009,Airport View Parochial Mennonite School,Lancaster,Warwick SD,0.00
215210009,Al Huda School,Cumberland,West Shore SD,26.40
218400001,Al Noor Islamic Academy,Luzerne,Wilkes-Barre Area SD,26.50
226510132,Al-Aqsa Islamic School,Philadelphia,Philadelphia City SD,100.00
206160034,Alexander Amish School,Clarion,North Clarion County SD,0.00
300460560,All Hallows Episcopal Nursery School,Montgomery,Cheltenham SD,0.00
219359001,All Saints Academy,Lackawanna,Scranton SD,21.30
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,27.00
226510026,All Saints Episcopal School,Philadelphia,Philadelphia City SD,0.00
208057235,Allegheny Valley Christian School,Bedford,Chestnut Ridge SD,0.00
206330012,Allens Mills School,Jefferson,Brockway Area SD,0.00
221390202,Allentown Central Catholic HS,Lehigh,Allentown City SD,17.40
211440003,Allison Gap School,Mifflin,Mifflin County SD,0.00
226510232,Alpha House Nursery & Kdg,Philadelphia,Philadelphia City SD,0.00
228320009,Ambrose Amish Par,Indiana,Marion Center Area SD,0.00
213360074,Amish Road School,Lancaster,Pequea Valley SD,0.00
213360402,Amsterdam School,Lancaster,Eastern Lancaster County SD,0.00
212280303,Anchor Christian Day School,Franklin,Chambersburg Area SD,0.00
223460502,Ancillae Assumpta Academy,Montgomery,Cheltenham SD,0.60
300230110,Ancona Montessori School Drexel Hill,Delaware,Upper Darby SD,0.00
212280503,Antrim Mennonite School,Franklin,Greencastle-Antrim SD,0.00
213360452,Apple Grove School,Lancaster,Eastern Lancaster County SD,0.00
204370254,Apple Grove School,Lawrence,Wilmington Area SD,0.00
207650205,Aquinas Academy,Westmoreland,Greensburg Salem SD,28.00
203020355,Aquinas Academy,Allegheny,Hampton Township SD,2.80
300157550,ARC of Chester County,Chester,West Chester Area SD,0.00
225230602,Archbishop John Carroll HS,Delaware,Radnor Township SD,1.90
226510452,Archbishop Ryan High School,Philadelphia,Philadelphia City SD,6.70
226510502,Archbishop Ryan Sch Deaf and Hard of Hearing Children,Philadelphia,Interboro SD,75.00
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,1.10
207650755,Armbrust Wesleyan Chrst Acad,Westmoreland,Mount Pleasant Area SD,25.50
300460220,Armenian Sisters Academy,Montgomery,Upper Merion Area SD,2.10
215220243,Armstrong Valley Christian Sch,Dauphin,Halifax Area SD,100.00
224150262,Ashville,Lancaster,Solanco SD,0.00
224150272,Ashville Parochial School,Chester,Oxford Area SD,0.00
303023285,Aspire Nursery School,Allegheny,Pittsburgh SD,0.00
224150502,Assumption BVM School,Chester,Avon Grove SD,17.00
229548702,Assumption BVM School,Schuylkill,Pottsville Area SD,13.50
322090040,ATG Learning Academy,Bucks,Central Bucks SD,66.70
205200204,Atlantic Amish School,Crawford,Conneaut SD,0.00
216490004,Augustaville Amish Parochial School,Northumberland,Shikellamy SD,0.00
228320555,Aultman Baptist Church Academy,Indiana,Homer-Center SD,0.00
214066792,Autumn Ridge Mennonite School,Berks,Conrad Weiser Area SD,0.00
224150562,Avon Grove Nazarene Academy,Chester,Avon Grove SD,0.00
211441003,Back Mountain Amish School,Mifflin,Mifflin County SD,0.00
219350001,Bais Yaakov of Scranton,Lackawanna,Scranton SD,90.90
300460900,Bala House,Montgomery,Lower Merion SD,0.00
210180503,Bald Eagle Boys Camp School,Clinton,Keystone Central SD,2.60
217410002,Bald Eagle School,Lycoming,Montgomery Area SD,0.00
223469252,Baldwin School,Montgomery,Lower Merion SD,0.00
216550000,Bannerville Hill Amish School,Snyder,Midd-West SD,0.00
211440008,Barefoot School,Mifflin,Mifflin County SD,0.00
211441203,Barrville Amish School,Mifflin,Mifflin County SD,0.00
213360565,Bartview School,Lancaster,Solanco SD,0.00
213360602,Bartville Amish School,Lancaster,Solanco SD,0.00
304100000,BCCC Childrens Creative Learning Center,Butler,Butler Area SD,0.00
206330014,Bear Lane School,Jefferson,Punxsutawney Area SD,0.00
206160000,Bear Run School,Clarion,Keystone SD,0.00
213366841,Beartown School,Lancaster,Eastern Lancaster County SD,0.00
227040805,Beaver Co Christian Sch -Upper,Beaver,Big Beaver Falls Area SD,11.70
227042850,Beaver Co Christian School - Middle Campus,Beaver,Big Beaver Falls Area SD,16.20
213360612,Beaver Dam School,Lancaster,Pequea Valley SD,0.00
216490103,Beaver Run Parochial School,Montour,Warrior Run SD,0.00
216600503,Beaver Run School,Union,Lewisburg Area SD,0.00
213360582,Beaver Valley Amish Paroch Sch,Lancaster,Lampeter-Strasburg SD,0.00
205620254,Beaver Valley Amish School,Warren,Warren County SD,0.00
300041580,Beaver Valley Montessori School,Beaver,Beaver Area SD,0.00
213360622,Beilers School,Lancaster,Pequea Valley SD,0.00
213360592,Bell School,Lancaster,Solanco SD,0.00
213360016,Bellaire Ridge School,Lancaster,Elizabethtown Area SD,0.00
300140500,Bellefonte Playschool of FUMC,Centre,Bellefonte Area SD,0.00
211441053,Belleville Mennonite School,Mifflin,Mifflin County SD,36.00
213360632,Belmont Special Education Sch,Lancaster,Pequea Valley SD,0.00
300230300,Benchmark School,Delaware,Rose Tree Media SD,0.00
310140003,Bennett Family Center,Centre,State College Area SD,0.00
222090852,Bensalem Baptist School,Bucks,Bensalem Township SD,0.00
214062752,Berks Catholic High School,Berks,Reading SD,37.20
214060782,Berks Christian School,Berks,Exeter Township SD,17.20
224150003,Beth Israel Kindergarten,Chester,Downingtown Area SD,0.00
224150922,Bethany Christian School,Chester,Oxford Area SD,0.00
213360572,Bethany Parochial School,Lancaster,Eastern Lancaster County SD,0.00
227041005,Bethel Christian School,Beaver,Hopewell Area SD,0.00
300250720,Bethel Christian School of Erie,Erie,Erie City SD,22.60
214060602,Bethel Dnkrd Breth Chrst Sch,Berks,Tulpehocken Area SD,0.00
213360712,Bethel Mennonite School,Lancaster,Solanco SD,0.00
300650750,Bethel Nursery School,Westmoreland,Burrell SD,0.00
220480502,Bethlehem Catholic High School,Northampton,Bethlehem Area SD,16.50
220480532,Bethlehem Christian School,Northampton,Bethlehem Area SD,0.00
220480552,Bethlehem Christian School,Northampton,Bethlehem Area SD,0.00
226510695,Beulah Bapt Christian Day Sch,Philadelphia,Philadelphia City SD,0.00
201260755,Bible Baptist Academy,Fayette,Uniontown Area SD,0.00
212671503,Bible Baptist Christian Academy,York,Northeastern York SD,0.00
207650905,Bible Baptist Chrst Academy,Westmoreland,Greater Latrobe SD,33.30
300518770,Big Backyard,Philadelphia,Philadelphia City SD,0.00
224153164,Birdell School,Chester,Coatesville Area SD,0.00
202021005,Bishop Canevin High School,Allegheny,Pittsburgh SD,27.90
208110505,Bishop Carroll High School,Cambria,Central Cambria SD,14.90
208071005,Bishop Guilfoyle Catholic High School,Blair,Altoona Area SD,18.50
208110755,Bishop McCort High School,Cambria,Greater Johnstown SD,14.10
215221003,Bishop McDevitt High School,Dauphin,Central Dauphin SD,24.90
223460702,Bishop McDevitt High School,Montgomery,Cheltenham SD,29.20
224151502,Bishop Shanahan High School,Chester,Downingtown Area SD,0.00
213360652,Black Creek School,Lancaster,Eastern Lancaster County SD,0.00
211341503,Black Rock Amish School,Juniata,Juniata County SD,0.00
