county,AUN,LEA,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,TOTAL COLLEGE BOUND %,2- OR 4-YEAR COLLEGE OR UNIVERSITY,2- OR 4-YEAR UNIVERSITY %,TOTAL POSTSECONDARY BOUND,TOTAL POSTSECONDARY BOUND %,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL %,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION %
,128323703,Indiana Area SD,2325,Indiana Area SHS,186,121,65.05%,121,65.05%,122,65.59%,1,0.54%,0,0.00%
,,,9999,Indiana Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Indiana Area SD,,,187,121,64.71%,121,64.71%,122,65.24%,1,0.53%,0,0.00%
,128325203,Marion Center Area SD,2339,Marion Center Area JR/SR HS,103,56,54.37%,51,49.51%,59,57.28%,3,2.91%,5,4.85%
,,Marion Center Area SD,,,103,56,54.37%,51,49.51%,59,57.28%,3,2.91%,5,4.85%
,128326303,Penns Manor Area SD,2345,Penns Manor Area JSHS,62,40,64.52%,40,64.52%,41,66.13%,1,1.61%,0,0.00%
,,,9999,Penns Manor Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Penns Manor Area SD,,,67,40,59.70%,40,59.70%,41,61.19%,1,1.49%,0,0.00%
,128327303,Purchase Line SD,2350,Purchase Line JSHS,44,22,50.00%,20,45.45%,26,59.09%,4,9.09%,2,4.55%
,,,9999,Purchase Line SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Purchase Line SD,,,45,22,48.89%,20,44.44%,26,57.78%,4,8.89%,2,4.44%
,128328003,United SD,2358,United JSHS,88,57,64.77%,57,64.77%,61,69.32%,4,4.55%,0,0.00%
,,United SD,,,88,57,64.77%,57,64.77%,61,69.32%,4,4.55%,0,0.00%
Indiana,,,,,682,391,57.33%,384,56.30%,408,59.82%,17,2.49%,7,1.03%
Jefferson,106330703,Brockway Area SD,2362,Brockway Area JSHS,72,50,69.44%,47,65.28%,50,69.44%,0,0.00%,3,4.17%
,,Brockway Area SD,,,72,50,69.44%,47,65.28%,50,69.44%,0,0.00%,3,4.17%
,106330803,Brookville Area SD,6162,Brookville JSHS,95,54,56.84%,52,54.74%,54,56.84%,0,0.00%,2,2.11%
,,Brookville Area SD,,,95,54,56.84%,52,54.74%,54,56.84%,0,0.00%,2,2.11%
,106333407,Jefferson County-DuBois AVTS,5180,Jefferson County-DuBois AVTS,84,14,16.67%,14,16.67%,16,19.05%,2,2.38%,0,0.00%
,,Jefferson County-DuBois AVTS,,,84,14,16.67%,14,16.67%,16,19.05%,2,2.38%,0,0.00%
,106338003,Punxsutawney Area SD,6165,Punxsutawney Area HS,131,73,55.73%,72,54.96%,77,58.78%,4,3.05%,1,0.76%
,,,9999,Punxsutawney Area SD,1,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0.00%
,,Punxsutawney Area SD,,,132,73,55.30%,72,54.55%,78,59.09%,5,3.79%,1,0.76%
Jefferson,,,,,383,191,49.87%,185,48.30%,198,51.70%,7,1.83%,6,1.57%
Juniata,111343603,Juniata County SD,2394,East Juniata JSHS,77,36,46.75%,36,46.75%,37,48.05%,1,1.30%,0,0.00%
,,,6255,Juniata SHS,138,31,22.46%,31,22.46%,33,23.91%,2,1.45%,0,0.00%
,,Juniata County SD,,,215,67,31.16%,67,31.16%,70,32.56%,3,1.40%,0,0.00%
Juniata,,,,,215,67,31.16%,67,31.16%,70,32.56%,3,1.40%,0,0.00%
Lackawanna,119350303,Abington Heights SD,5091,Abington Heights HS,254,251,98.82%,251,98.82%,251,98.82%,0,0.00%,0,0.00%
,,Abington Heights SD,,,254,251,98.82%,251,98.82%,251,98.82%,0,0.00%,0,0.00%
,119351303,Carbondale Area SD,2420,Carbondale Area JSHS,94,66,70.21%,66,70.21%,68,72.34%,2,2.13%,0,0.00%
,,Carbondale Area SD,,,94,66,70.21%,66,70.21%,68,72.34%,2,2.13%,0,0.00%
,119352203,Dunmore SD,8312,Dunmore JSHS,120,81,67.50%,81,67.50%,93,77.50%,12,10.00%,0,0.00%
,,Dunmore SD,,,120,81,67.50%,81,67.50%,93,77.50%,12,10.00%,0,0.00%
,119354603,Lakeland SD,6404,Lakeland JSHS,113,79,69.91%,78,69.03%,82,72.57%,3,2.65%,1,0.88%
,,Lakeland SD,,,113,79,69.91%,78,69.03%,82,72.57%,3,2.65%,1,0.88%
,119355503,Mid Valley SD,8304,Mid Valley Secondary Center,119,54,45.38%,54,45.38%,54,45.38%,0,0.00%,0,0.00%
,,,9999,Mid Valley SD,7,1,14.29%,1,14.29%,1,14.29%,0,0.00%,0,0.00%
,,Mid Valley SD,,,126,55,43.65%,55,43.65%,55,43.65%,0,0.00%,0,0.00%
,119356503,North Pocono SD,2446,North Pocono HS,218,144,66.06%,144,66.06%,147,67.43%,3,1.38%,0,0.00%
,,,9999,North Pocono SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,North Pocono SD,,,219,144,65.75%,144,65.75%,147,67.12%,3,1.37%,0,0.00%
,119356603,Old Forge SD,2449,Old Forge JSHS,78,53,67.95%,53,67.95%,53,67.95%,0,0.00%,0,0.00%
,,Old Forge SD,,,78,53,67.95%,53,67.95%,53,67.95%,0,0.00%,0,0.00%
,119357003,Riverside SD,2496,Riverside JSHS,90,61,67.78%,61,67.78%,61,67.78%,0,0.00%,0,0.00%
,,Riverside SD,,,90,61,67.78%,61,67.78%,61,67.78%,0,0.00%,0,0.00%
,119357402,Scranton SD,2489,West Scranton HS,219,121,55.25%,121,55.25%,135,61.64%,14,6.39%,0,0.00%
,,,6413,Scranton HS,374,215,57.49%,214,57.22%,226,60.43%,11,2.94%,1,0.27%
,,,9999,Scranton SD,13,3,23.08%,3,23.08%,3,23.08%,0,0.00%,0,0.00%
,,Scranton SD,,,606,339,55.94%,338,55.78%,364,60.07%,25,4.13%,1,0.17%
,119358403,Valley View SD,6775,Valley View HS,157,115,73.25%,114,72.61%,116,73.89%,1,0.64%,1,0.64%
,,,9999,Valley View SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Valley View SD,,,158,115,72.78%,114,72.15%,116,73.42%,1,0.63%,1,0.63%
Lackawanna,,,,,"1,858","1,244",66.95%,"1,241",66.79%,"1,290",69.43%,46,2.48%,3,0.16%
Lancaster,113361303,Cocalico SD,6290,Cocalico SHS,221,127,57.47%,123,55.66%,134,60.63%,7,3.17%,4,1.81%
,,,9999,Cocalico SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Cocalico SD,,,224,127,56.70%,123,54.91%,134,59.82%,7,3.13%,4,1.79%
,113361503,Columbia Borough SD,2515,Columbia HS,64,29,45.31%,29,45.31%,29,45.31%,0,0.00%,0,0.00%
,,,9999,Columbia Borough SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Columbia Borough SD,,,67,29,43.28%,29,43.28%,29,43.28%,0,0.00%,0,0.00%
,113361703,Conestoga Valley SD,2532,Conestoga Valley SHS,296,168,56.76%,165,55.74%,168,56.76%,0,0.00%,3,1.01%
,,,9999,Conestoga Valley SD,17,2,11.76%,2,11.76%,2,11.76%,0,0.00%,0,0.00%
,,Conestoga Valley SD,,,313,170,54.31%,167,53.35%,170,54.31%,0,0.00%,3,0.96%
,113362203,Donegal SD,2539,Donegal HS,205,137,66.83%,133,64.88%,141,68.78%,4,1.95%,4,1.95%
,,,9999,Donegal SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Donegal SD,,,207,137,66.18%,133,64.25%,141,68.12%,4,1.93%,4,1.93%
,113362303,Eastern Lancaster County SD,2554,Garden Spot SHS,242,110,45.45%,107,44.21%,116,47.93%,6,2.48%,3,1.24%
,,Eastern Lancaster County SD,,,242,110,45.45%,107,44.21%,116,47.93%,6,2.48%,3,1.24%
,113362403,Elizabethtown Area SD,2562,Elizabethtown Area SHS,298,168,56.38%,168,56.38%,187,62.75%,19,6.38%,0,0.00%
,,,9999,Elizabethtown Area SD,6,1,16.67%,1,16.67%,1,16.67%,0,0.00%,0,0.00%
,,Elizabethtown Area SD,,,304,169,55.59%,169,55.59%,188,61.84%,19,6.25%,0,0.00%
,113362603,Ephrata Area SD,6293,Ephrata SHS,322,166,51.55%,152,47.20%,168,52.17%,2,0.62%,14,4.35%
,,,9999,Ephrata Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Ephrata Area SD,,,324,166,51.23%,152,46.91%,168,51.85%,2,0.62%,14,4.32%
,113362940,La Academia Partnership CS,7538,La Academia Partnership CS,20,17,85.00%,17,85.00%,17,85.00%,0,0.00%,0,0.00%
,,La Academia Partnership CS,,,20,17,85.00%,17,85.00%,17,85.00%,0,0.00%,0,0.00%
,113363103,Hempfield SD,2578,Hempfield SHS,503,364,72.37%,333,66.20%,365,72.56%,1,0.20%,31,6.16%
,,,9999,Hempfield SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Hempfield SD,,,508,364,71.65%,333,65.55%,365,71.85%,1,0.20%,31,6.10%
,113363603,Lampeter-Strasburg SD,2607,Lampeter-Strasburg SHS,231,173,74.89%,172,74.46%,179,77.49%,6,2.60%,1,0.43%
,,,9999,Lampeter-Strasburg SD,10,2,20.00%,2,20.00%,3,30.00%,1,10.00%,0,0.00%
,,Lampeter-Strasburg SD,,,241,175,72.61%,174,72.20%,182,75.52%,7,2.90%,1,0.41%
,113364002,Lancaster SD,2596,McCaskey Campus,514,307,59.73%,262,50.97%,323,62.84%,16,3.11%,45,8.75%
,,,7922,Phoenix Academy,82,10,12.20%,9,10.98%,11,13.41%,1,1.22%,1,1.22%
,,,9999,Lancaster SD,6,2,33.33%,0,0.00%,2,33.33%,0,0.00%,2,33.33%
,,Lancaster SD,,,602,319,52.99%,271,45.02%,336,55.81%,17,2.82%,48,7.97%
,113364403,Manheim Central SD,2618,Manheim Central SHS,205,113,55.12%,106,51.71%,116,56.59%,3,1.46%,7,3.41%
,,,9999,Manheim Central SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Manheim Central SD,,,209,113,54.07%,106,50.72%,116,55.50%,3,1.44%,7,3.35%
,113364503,Manheim Township SD,2623,Manheim Twp HS,439,351,79.95%,341,77.68%,361,82.23%,10,2.28%,10,2.28%
,,,9999,Manheim Township SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Manheim Township SD,,,448,351,78.35%,341,76.12%,361,80.58%,10,2.23%,10,2.23%
,113365203,Penn Manor SD,2633,Penn Manor HS,363,218,60.06%,204,56.20%,228,62.81%,10,2.75%,14,3.86%
,,,9999,Penn Manor SD,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Penn Manor SD,,,374,218,58.29%,204,54.55%,228,60.96%,10,2.67%,14,3.74%
,113365303,Pequea Valley SD,2649,Pequea Valley HS,127,57,44.88%,56,44.09%,62,48.82%,5,3.94%,1,0.79%
,,Pequea Valley SD,,,127,57,44.88%,56,44.09%,62,48.82%,5,3.94%,1,0.79%
,113367003,Solanco SD,2658,Solanco HS,239,90,37.66%,83,34.73%,90,37.66%,0,0.00%,7,2.93%
,,,9999,Solanco SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Solanco SD,,,245,90,36.73%,83,33.88%,90,36.73%,0,0.00%,7,2.86%
,113369003,Warwick SD,2663,Warwick SHS,342,170,49.71%,155,45.32%,174,50.88%,4,1.17%,15,4.39%
,,,9999,Warwick SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Warwick SD,,,344,170,49.42%,155,45.06%,174,50.58%,4,1.16%,15,4.36%
Lancaster,,,,,"4,799","2,782",57.97%,"2,620",54.59%,"2,877",59.95%,95,1.98%,162,3.38%
Lawrence,104372003,Ellwood City Area SD,2675,Lincoln JSHS,130,78,60.00%,78,60.00%,92,70.77%,14,10.77%,0,0.00%
,,Ellwood City Area SD,,,130,78,60.00%,78,60.00%,92,70.77%,14,10.77%,0,0.00%
,104374003,Laurel SD,2680,Laurel HS,98,59,60.20%,59,60.20%,66,67.35%,7,7.14%,0,0.00%
,,Laurel SD,,,98,59,60.20%,59,60.20%,66,67.35%,7,7.14%,0,0.00%
,104374207,Lawrence County CTC,4940,Lawrence County CTC,109,16,14.68%,16,14.68%,16,14.68%,0,0.00%,0,0.00%
,,Lawrence County CTC,,,109,16,14.68%,16,14.68%,16,14.68%,0,0.00%,0,0.00%
,104375003,Mohawk Area SD,2686,Mohawk SHS,105,62,59.05%,57,54.29%,74,70.48%,12,11.43%,5,4.76%
,,Mohawk Area SD,,,105,62,59.05%,57,54.29%,74,70.48%,12,11.43%,5,4.76%
,104375203,Neshannock Township SD,2689,Neshannock JSHS,100,64,64.00%,63,63.00%,68,68.00%,4,4.00%,1,1.00%
,,,9999,Neshannock Township SD,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,,Neshannock Township SD,,,101,65,64.36%,64,63.37%,69,68.32%,4,3.96%,1,0.99%
,104375302,New Castle Area SD,2704,New Castle SHS,153,66,43.14%,61,39.87%,67,43.79%,1,0.65%,5,3.27%
,,,9999,New Castle Area SD,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,New Castle Area SD,,,177,66,37.29%,61,34.46%,67,37.85%,1,0.56%,5,2.82%
,104376203,Shenango Area SD,2708,Shenango HS,75,58,77.33%,58,77.33%,61,81.33%,3,4.00%,0,0.00%
,,,9999,Shenango Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Shenango Area SD,,,76,58,76.32%,58,76.32%,61,80.26%,3,3.95%,0,0.00%
,104377003,Union Area SD,2712,Union Area HS,44,30,68.18%,28,63.64%,31,70.45%,1,2.27%,2,4.55%
,,,9999,Union Area SD,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
,,Union Area SD,,,47,31,65.96%,29,61.70%,32,68.09%,1,2.13%,2,4.26%
,104378003,Wilmington Area SD,2721,Wilmington Area HS,94,78,82.98%,69,73.40%,78,82.98%,0,0.00%,9,9.57%
,,,9999,Wilmington Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Wilmington Area SD,,,98,78,79.59%,69,70.41%,78,79.59%,0,0.00%,9,9.18%
Lawrence,,,,,941,513,54.52%,491,52.18%,555,58.98%,42,4.46%,22,2.34%
Lebanon,113380303,Annville-Cleona SD,2725,Annville Cleona HS,102,63,61.76%,63,61.76%,64,62.75%,1,0.98%,0,0.00%
,,Annville-Cleona SD,,,102,63,61.76%,63,61.76%,64,62.75%,1,0.98%,0,0.00%
,113381303,Cornwall-Lebanon SD,4800,Cedar Crest HS,361,187,51.80%,187,51.80%,211,58.45%,24,6.65%,0,0.00%
,,Cornwall-Lebanon SD,,,361,187,51.80%,187,51.80%,211,58.45%,24,6.65%,0,0.00%
,113382303,Eastern Lebanon County SD,2740,Eastern Lebanon Co SHS,167,96,57.49%,96,57.49%,96,57.49%,0,0.00%,0,0.00%
,,,9999,Eastern Lebanon County SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Eastern Lebanon County SD,,,171,96,56.14%,96,56.14%,96,56.14%,0,0.00%,0,0.00%
,113384603,Lebanon SD,5155,Lebanon SHS,276,111,40.22%,104,37.68%,116,42.03%,5,1.81%,7,2.54%
,,Lebanon SD,,,276,111,40.22%,104,37.68%,116,42.03%,5,1.81%,7,2.54%
,113385003,Northern Lebanon SD,2760,Northern Lebanon SHS,142,56,39.44%,56,39.44%,57,40.14%,1,0.70%,0,0.00%
,,,9999,Northern Lebanon SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northern Lebanon SD,,,144,56,38.89%,56,38.89%,57,39.58%,1,0.69%,0,0.00%
,113385303,Palmyra Area SD,2766,Palmyra Area SHS,264,178,67.42%,177,67.05%,179,67.80%,1,0.38%,1,0.38%
,,Palmyra Area SD,,,264,178,67.42%,177,67.05%,179,67.80%,1,0.38%,1,0.38%
Lebanon,,,,,"1,318",691,52.43%,683,51.82%,723,54.86%,32,2.43%,8,0.61%
Lehigh,121390302,Allentown City SD,2794,William Allen HS,493,228,46.25%,216,43.81%,245,49.70%,17,3.45%,12,2.43%
,,,2795,Louis E Dieruff HS,404,215,53.22%,208,51.49%,234,57.92%,19,4.70%,7,1.73%
,,,8412,Building 21 Allentown,78,37,47.44%,36,46.15%,43,55.13%,6,7.69%,1,1.28%
,,,9999,Allentown City SD,81,4,4.94%,4,4.94%,9,11.11%,5,6.17%,0,0.00%
,,Allentown City SD,,,"1,056",484,45.83%,464,43.94%,531,50.28%,47,4.45%,20,1.89%
,121391303,Catasauqua Area SD,2798,Catasauqua SHS,103,66,64.08%,64,62.14%,67,65.05%,1,0.97%,2,1.94%
,,Catasauqua Area SD,,,103,66,64.08%,64,62.14%,67,65.05%,1,0.97%,2,1.94%
,121392303,East Penn SD,2809,Emmaus HS,721,560,77.67%,555,76.98%,565,78.36%,5,0.69%,5,0.69%
,,,9999,East Penn SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,East Penn SD,,,726,560,77.13%,555,76.45%,565,77.82%,5,0.69%,5,0.69%
,121393330,Roberto Clemente CS,8401,Roberto Clemente CS,41,18,43.90%,18,43.90%,23,56.10%,5,12.20%,0,0.00%
,,Roberto Clemente CS,,,41,18,43.90%,18,43.90%,23,56.10%,5,12.20%,0,0.00%
,121394503,Northern Lehigh SD,2818,Northern Lehigh SHS,117,71,60.68%,68,58.12%,74,63.25%,3,2.56%,3,2.56%
,,,9999,Northern Lehigh SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northern Lehigh SD,,,118,71,60.17%,68,57.63%,74,62.71%,3,2.54%,3,2.54%
,121394603,Northwestern Lehigh SD,2821,Northwestern Lehigh HS,173,124,71.68%,124,71.68%,125,72.25%,1,0.58%,0,0.00%
,,,9999,Northwestern Lehigh SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northwestern Lehigh SD,,,175,124,70.86%,124,70.86%,125,71.43%,1,0.57%,0,0.00%
,121395103,Parkland SD,2829,Parkland HS,765,615,80.39%,615,80.39%,634,82.88%,19,2.48%,0,0.00%
,,,9999,Parkland SD,8,2,25.00%,2,25.00%,2,25.00%,0,0.00%,0,0.00%
,,Parkland SD,,,773,617,79.82%,617,79.82%,636,82.28%,19,2.46%,0,0.00%
,121395526,Innovative Arts Academy CS,8371,Innovative Arts Academy CS,44,19,43.18%,18,40.91%,23,52.27%,4,9.09%,1,2.27%
,,Innovative Arts Academy CS,,,44,19,43.18%,18,40.91%,23,52.27%,4,9.09%,1,2.27%
,121395603,Salisbury Township SD,2833,Salisbury SHS,129,96,74.42%,93,72.09%,97,75.19%,1,0.78%,3,2.33%
,,Salisbury Township SD,,,129,96,74.42%,93,72.09%,97,75.19%,1,0.78%,3,2.33%
,121395703,Southern Lehigh SD,2839,Southern Lehigh SHS,244,147,60.25%,147,60.25%,147,60.25%,0,0.00%,0,0.00%
,,,9999,Southern Lehigh SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Southern Lehigh SD,,,248,147,59.27%,147,59.27%,147,59.27%,0,0.00%,0,0.00%
,121397803,Whitehall-Coplay SD,2848,Whitehall HS,327,156,47.71%,153,46.79%,156,47.71%,0,0.00%,3,0.92%
,,,9999,Whitehall-Coplay SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Whitehall-Coplay SD,,,332,156,46.99%,153,46.08%,156,46.99%,0,0.00%,3,0.90%
,121398065,Executive Education Academy CS,8325,Executive Education Academy CS,78,52,66.67%,47,60.26%,57,73.08%,5,6.41%,5,6.41%
,,Executive Education Academy CS,,,78,52,66.67%,47,60.26%,57,73.08%,5,6.41%,5,6.41%
,175390169,Lincoln Leadership Academy CS,8125,Lincoln Leadership Academy CS,41,37,90.24%,37,90.24%,37,90.24%,0,0.00%,0,0.00%
,,Lincoln Leadership Academy CS,,,41,37,90.24%,37,90.24%,37,90.24%,0,0.00%,0,0.00%
Lehigh,,,,,"3,864","2,447",63.33%,"2,405",62.24%,"2,538",65.68%,91,2.36%,42,1.09%
Luzerne,118401403,Crestwood SD,8446,Crestwood Secondary Campus,220,147,66.82%,142,64.55%,149,67.73%,2,0.91%,5,2.27%
,,,9999,Crestwood SD,11,4,36.36%,3,27.27%,4,36.36%,0,0.00%,1,9.09%
,,Crestwood SD,,,231,151,65.37%,145,62.77%,153,66.23%,2,0.87%,6,2.60%
,118401603,Dallas SD,2869,Dallas SHS,201,147,73.13%,147,73.13%,147,73.13%,0,0.00%,0,0.00%
,,,9999,Dallas SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Dallas SD,,,202,147,72.77%,147,72.77%,147,72.77%,0,0.00%,0,0.00%
,118402603,Greater Nanticoke Area SD,5242,Greater Nanticoke Area SHS,157,81,51.59%,81,51.59%,86,54.78%,5,3.18%,0,0.00%
,,,9999,Greater Nanticoke Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Greater Nanticoke Area SD,,,163,81,49.69%,81,49.69%,86,52.76%,5,3.07%,0,0.00%
,118403003,Hanover Area SD,2891,Hanover Area JSHS,132,50,37.88%,49,37.12%,52,39.39%,2,1.52%,1,0.76%
,,Hanover Area SD,,,132,50,37.88%,49,37.12%,52,39.39%,2,1.52%,1,0.76%
,118403302,Hazleton Area SD,7348,Hazleton Area HS,714,341,47.76%,339,47.48%,346,48.46%,5,0.70%,2,0.28%
,,Hazleton Area SD,,,714,341,47.76%,339,47.48%,346,48.46%,5,0.70%,2,0.28%
,118403903,Lake-Lehman SD,2924,Lake-Lehman JSHS,145,107,73.79%,106,73.10%,108,74.48%,1,0.69%,1,0.69%
,,Lake-Lehman SD,,,145,107,73.79%,106,73.10%,108,74.48%,1,0.69%,1,0.69%
,118406003,Northwest Area SD,2958,Northwest Area HS,81,51,62.96%,51,62.96%,52,64.20%,1,1.23%,0,0.00%
,,,9999,Northwest Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northwest Area SD,,,82,51,62.20%,51,62.20%,52,63.41%,1,1.22%,0,0.00%
,118406602,Pittston Area SD,5058,Pittston Area SHS,228,161,70.61%,160,70.18%,170,74.56%,9,3.95%,1,0.44%
,,,9999,Pittston Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Pittston Area SD,,,232,161,69.40%,160,68.97%,170,73.28%,9,3.88%,1,0.43%
,118408707,West Side CTC,5059,West Side CTC,102,31,30.39%,31,30.39%,37,36.27%,6,5.88%,0,0.00%
,,West Side CTC,,,102,31,30.39%,31,30.39%,37,36.27%,6,5.88%,0,0.00%
,118408852,Wilkes-Barre Area SD,3007,James M Coughlin JSHS,202,88,43.56%,88,43.56%,89,44.06%,1,0.50%,0,0.00%
,,,3008,G A R Memorial JSHS,127,59,46.46%,59,46.46%,65,51.18%,6,4.72%,0,0.00%
,,,3009,Elmer L Meyers JSHS,109,65,59.63%,60,55.05%,67,61.47%,2,1.83%,5,4.59%
,,,8448,Wilkes-Barre Area SD STEM Academy,12,11,91.67%,11,91.67%,12,100.00%,1,8.33%,0,0.00%
,,,9999,Wilkes-Barre Area SD,34,3,8.82%,3,8.82%,5,14.71%,2,5.88%,0,0.00%
,,Wilkes-Barre Area SD,,,484,226,46.69%,221,45.66%,238,49.17%,12,2.48%,5,1.03%
,118409203,Wyoming Area SD,6390,Wyoming Area Sec Ctr,146,95,65.07%,94,64.38%,95,65.07%,0,0.00%,1,0.68%
,,,9999,Wyoming Area SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Wyoming Area SD,,,153,95,62.09%,94,61.44%,95,62.09%,0,0.00%,1,0.65%
,118409302,Wyoming Valley West SD,6391,Wyoming Valley West SHS,281,149,53.02%,148,52.67%,149,53.02%,0,0.00%,1,0.36%
,,,9999,Wyoming Valley West SD,7,1,14.29%,1,14.29%,1,14.29%,0,0.00%,0,0.00%
,,Wyoming Valley West SD,,,288,150,52.08%,149,51.74%,150,52.08%,0,0.00%,1,0.35%
Luzerne,,,,,"2,928","1,591",54.34%,"1,573",53.72%,"1,634",55.81%,43,1.47%,18,0.61%
Lycoming,117412003,East Lycoming SD,6364,Hughesville JSHS,117,67,57.26%,67,57.26%,71,60.68%,4,3.42%,0,0.00%
,,,9999,East Lycoming SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,East Lycoming SD,,,119,67,56.30%,67,56.30%,71,59.66%,4,3.36%,0,0.00%
,117414003,Jersey Shore Area SD,3034,Jersey Shore Area SHS,145,75,51.72%,72,49.66%,75,51.72%,0,0.00%,3,2.07%
,,Jersey Shore Area SD,,,145,75,51.72%,72,49.66%,75,51.72%,0,0.00%,3,2.07%
,117414203,Loyalsock Township SD,4828,Loyalsock Twp SHS,104,71,68.27%,71,68.27%,73,70.19%,2,1.92%,0,0.00%
,,Loyalsock Township SD,,,104,71,68.27%,71,68.27%,73,70.19%,2,1.92%,0,0.00%
,117415004,Montgomery Area SD,3040,Montgomery JSHS,58,34,58.62%,31,53.45%,34,58.62%,0,0.00%,3,5.17%
,,Montgomery Area SD,,,58,34,58.62%,31,53.45%,34,58.62%,0,0.00%,3,5.17%
,117415103,Montoursville Area SD,3045,Montoursville Area SHS,145,105,72.41%,98,67.59%,109,75.17%,4,2.76%,7,4.83%
,,Montoursville Area SD,,,145,105,72.41%,98,67.59%,109,75.17%,4,2.76%,7,4.83%
,117415303,Muncy SD,3048,Muncy JSHS,66,39,59.09%,39,59.09%,39,59.09%,0,0.00%,0,0.00%
,,,9999,Muncy SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Muncy SD,,,67,39,58.21%,39,58.21%,39,58.21%,0,0.00%,0,0.00%
,117416103,South Williamsport Area SD,3056,South Williamsport Area JSHS,81,41,50.62%,41,50.62%,42,51.85%,1,1.23%,0,0.00%
,,South Williamsport Area SD,,,81,41,50.62%,41,50.62%,42,51.85%,1,1.23%,0,0.00%
,117417202,Williamsport Area SD,6368,Williamsport Area SHS,294,194,65.99%,194,65.99%,194,65.99%,0,0.00%,0,0.00%
,,,9999,Williamsport Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Williamsport Area SD,,,297,194,65.32%,194,65.32%,194,65.32%,0,0.00%,0,0.00%
Lycoming,,,,,"1,016",626,61.61%,613,60.33%,637,62.70%,11,1.08%,13,1.28%
McKean,109420803,Bradford Area SD,4691,Bradford Area HS,164,94,57.32%,92,56.10%,96,58.54%,2,1.22%,2,1.22%
,,,9999,Bradford Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Bradford Area SD,,,167,94,56.29%,92,55.09%,96,57.49%,2,1.20%,2,1.20%
,109422303,Kane Area SD,5245,Kane Area HS,98,60,61.22%,60,61.22%,60,61.22%,0,0.00%,0,0.00%
,,Kane Area SD,,,98,60,61.22%,60,61.22%,60,61.22%,0,0.00%,0,0.00%
,109426003,Otto-Eldred SD,3107,Otto-Eldred JSHS,51,31,60.78%,31,60.78%,32,62.75%,1,1.96%,0,0.00%
