Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year: 2015 - 2016,,,,,,,
 ,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,827,137,16.6%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,642,244,38.0%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,047",168,16.0%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,046",203,19.4%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,356,73,20.5%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,267,94,35.2%
119350303,Abington Heights SD,SD,6398,South Abington Sch,289,49,17.0%
119350303,Abington Heights SD,SD,2402,Waverly Sch,275,38,13.8%
123460302,Abington SD,SD,3242,Abington JHS,"1,791",363,20.3%
123460302,Abington SD,SD,3241,Abington SHS,"1,780",351,19.7%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,080",207,19.2%
123460302,Abington SD,SD,3229,Highland Sch,513,126,24.6%
123460302,Abington SD,SD,5075,McKinley Sch,658,102,15.5%
101631703,Canon-McMillan SD,SD,7216,Cecil Intrmd Sch,389,114,29.3%
123460302,Abington SD,SD,3234,Roslyn Sch,476,124,26.1%
123460302,Abington SD,SD,3226,Rydal East Sch,585,61,10.4%
123460302,Abington SD,SD,4910,Willow Hill Sch,389,151,38.8%
102020003,Academy CS,CS,7846,Academy CS,152,119,78.3%
125230001,Achievement House CS,CS,7824,Achievement House CS,553,390,70.5%
126514368,ACT Academy Cyber CS,CS,8217,ACT Academy Cyber CS,111,97,87.4%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,720,364,50.6%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,497,297,59.8%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"8,536","5,981",70.1%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,227,117,51.5%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,111",543,48.9%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,417,237,56.8%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,381,231,60.6%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,238,138,58.0%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,235,141,60.0%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,316,200,63.3%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,244,188,77.0%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,288,159,55.2%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,651,642,98.6%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,456,435,95.4%
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,490,244,49.8%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,279,142,50.9%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,222,121,54.5%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,446,190,42.6%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,359,179,49.9%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,324,128,39.5%
121390302,Allentown City SD,SD,8341,Building 21 Allentown,158,111,70.3%
121390302,Allentown City SD,SD,2790,Central El Sch,779,501,64.3%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,275,214,77.8%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,870,661,76.0%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,796,644,80.9%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,648,435,67.1%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,595,479,80.5%
121390302,Allentown City SD,SD,2775,Lehigh Parkway El Sch,314,152,48.4%
121390302,Allentown City SD,SD,7131,Lincoln Early Chld Ctr,267,5,1.9%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,768","1,288",72.9%
121390302,Allentown City SD,SD,8140,Luis A. Ramos El Sch,852,684,80.3%
121390302,Allentown City SD,SD,2777,McKinley El Sch,289,250,86.5%
121390302,Allentown City SD,SD,2779,Mosser El Sch,585,483,82.6%
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,432,307,71.1%
121390302,Allentown City SD,SD,2781,Ritter El Sch,446,346,77.6%
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,683,549,80.4%
121390302,Allentown City SD,SD,6448,Sheridan El Sch,664,574,86.4%
121390302,Allentown City SD,SD,2793,South Mountain MS,935,737,78.8%
121390302,Allentown City SD,SD,4929,Trexler MS,834,651,78.1%
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,683,444,65.0%
121390302,Allentown City SD,SD,2786,Washington El Sch,456,389,85.3%
121390302,Allentown City SD,SD,2794,William Allen HS,"2,637","1,938",73.5%
126512990,Alliance for Progress CS,CS,7543,Alliance for Progress CS,448,370,82.6%
108070502,Altoona Area SD,SD,0913,Altoona Area HS,"1,784","1,007",56.4%
108070502,Altoona Area SD,SD,7986,Altoona Area Jr HS,"1,782","1,073",60.2%
108070502,Altoona Area SD,SD,0891,Baker El Sch,358,175,48.9%
108070502,Altoona Area SD,SD,0908,Irving El Sch,363,146,40.2%
108070502,Altoona Area SD,SD,0895,Juniata El Sch,612,492,80.4%
108070502,Altoona Area SD,SD,0930,Juniata Gap El Sch,640,374,58.4%
108070502,Altoona Area SD,SD,7425,Kimmel Alternative School,32,28,87.5%
108070502,Altoona Area SD,SD,0933,Logan El Sch,580,376,64.8%
108070502,Altoona Area SD,SD,7199,Mowrie A Ebner El Sch,582,425,73.0%
108070502,Altoona Area SD,SD,8280,Penn-Lincoln El Sch,474,431,90.9%
108070502,Altoona Area SD,SD,0902,Pleasant Valley El Sch,590,412,69.8%
127040703,Ambridge Area SD,SD,6555,Ambridge Area HS,787,259,32.9%
127040703,Ambridge Area SD,SD,0633,Ambridge Area JHS,439,151,34.4%
127040703,Ambridge Area SD,SD,0629,Economy El Sch,534,134,25.1%
127040703,Ambridge Area SD,SD,0661,Highland El Sch,481,212,44.1%
127040703,Ambridge Area SD,SD,0632,State Street El Sch,301,129,42.9%
113380303,Annville-Cleona SD,SD,2725,Annville Cleona HS,505,106,21.0%
113380303,Annville-Cleona SD,SD,2724,Annville El Sch,444,128,28.8%
113380303,Annville-Cleona SD,SD,8178,Annville-Cleona MS,224,61,27.2%
103021752,Chartiers Valley SD,SD,7445,Chartiers Valley Primary Sch,802,234,29.2%
114060503,Antietam SD,SD,0820,Antietam MS/HS,421,178,42.3%
114060503,Antietam SD,SD,5205,Mt Penn El Sch,454,237,52.2%
114060503,Antietam SD,SD,7838,Mt Penn Primary Ctr,157,79,50.3%
104510394,Antonia Pantoja Community Charter School,CS,8031,Antonia Pantoja Community Charter School,707,512,72.4%
128030603,Apollo-Ridge SD,SD,7787,Apollo-Ridge Elem Sch,556,318,57.2%
128030603,Apollo-Ridge SD,SD,2320,Apollo-Ridge HS,385,200,51.9%
128030603,Apollo-Ridge SD,SD,6570,Apollo-Ridge MS,311,174,55.9%
108000000,Appalachia IU 8,IU,0000,Appalachia IU 8,232,93,40.1%
128000000,ARIN IU 28,IU,0000,ARIN IU 28,14,12,85.7%
128030852,Armstrong SD,SD,8342,Armstrong JSHS,"1,636",749,45.8%
128030852,Armstrong SD,SD,0569,Dayton El Sch,250,131,52.4%
128030852,Armstrong SD,SD,6574,Elderton El Sch,239,75,31.4%
128030852,Armstrong SD,SD,5002,Lenape El Sch,823,466,56.6%
128030852,Armstrong SD,SD,6577,Shannock Valley El Sch,349,186,53.3%
128030852,Armstrong SD,SD,7896,West Hills Intermediate Sch,520,268,51.5%
128030852,Armstrong SD,SD,7895,West Hills Primary Sch,704,339,48.2%
128030852,Armstrong SD,SD,7640,West Shamokin JSHS,633,254,40.1%
121395927,Arts Academy CS,CS,8214,Arts Academy CS,397,160,40.3%
121399898,Arts Academy Elementary Charter School,CS,8336,Arts Academy Elementary Charter School,404,404,100.0%
181519176,ASPIRA Bilingual Cyber Charter School,CS,8148,ASPIRA Bilingual Cyber Charter School,239,150,62.8%
117080503,Athens Area SD,SD,0958,Athens Area HS,693,306,44.2%
117080503,Athens Area SD,SD,4918,Audrielle Lynch-Ellen Bustin El Sch,567,297,52.4%
117080503,Athens Area SD,SD,8220,Harlan Rowe MS,507,250,49.3%
117080503,Athens Area SD,SD,8219,SRU El Sch,361,218,60.4%
109530304,Austin Area SD,SD,6221,Austin Area El Sch,104,62,59.6%
109530304,Austin Area SD,SD,6222,Austin Area JSHS,83,48,57.8%
101630504,Avella Area SD,SD,4165,Avella Area JSHS,260,108,41.5%
101630504,Avella Area SD,SD,7098,Avella El Center,300,116,38.7%
124150003,Avon Grove CS,CS,7721,Avon Grove CS,"1,655",357,21.6%
124150503,Avon Grove SD,SD,1367,Avon Grove HS,"1,812",380,21.0%
124150503,Avon Grove SD,SD,1365,Avon Grove Intrmd Sch,"1,505",412,27.4%
124150503,Avon Grove SD,SD,5216,Fred S Engle MS,805,179,22.2%
124150503,Avon Grove SD,SD,7323,Penn London El Sch,823,264,32.1%
103020753,Avonworth SD,SD,0034,Avonworth El Sch,384,53,13.8%
103020753,Avonworth SD,SD,5199,Avonworth HS,449,74,16.5%
103020753,Avonworth SD,SD,7669,Avonworth MS,375,71,18.9%
103020753,Avonworth SD,SD,8320,Avonworth Primary Center,402,37,9.2%
127046517,Baden Academy CS,CS,8211,Baden Academy CS,529,240,45.4%
110141003,Bald Eagle Area SD,SD,1335,Bald Eagle Area JSHS,964,372,38.6%
110141003,Bald Eagle Area SD,SD,1333,Howard El Sch,88,31,35.2%
110141003,Bald Eagle Area SD,SD,1334,Mountaintop Area El Sch,139,34,24.5%
110141003,Bald Eagle Area SD,SD,1331,Port Matilda El Sch,123,37,30.1%
110141003,Bald Eagle Area SD,SD,1330,Wingate El Sch,380,148,38.9%
103021102,Baldwin-Whitehall SD,SD,0050,Baldwin SHS,"1,388",498,35.9%
103021102,Baldwin-Whitehall SD,SD,6787,Harrison MS,984,403,41.0%
103021102,Baldwin-Whitehall SD,SD,0037,McAnnulty El Sch,363,141,38.8%
103021102,Baldwin-Whitehall SD,SD,5194,Paynter El Sch,746,392,52.5%
103021102,Baldwin-Whitehall SD,SD,0048,Whitehall El Sch,698,262,37.5%
120480803,Bangor Area SD,SD,3434,Bangor Area HS,"1,066",398,37.3%
120480803,Bangor Area SD,SD,5257,Bangor Area MS,511,218,42.7%
120480803,Bangor Area SD,SD,7301,DeFranco El Sch,481,217,45.1%
120480803,Bangor Area SD,SD,5099,Five Points El Sch,508,155,30.5%
120480803,Bangor Area SD,SD,3430,Washington El Sch,552,291,52.7%
118400001,Bear Creek Community CS,CS,7827,Bear Creek Community CS,462,191,41.3%
127041203,Beaver Area SD,SD,7386,Beaver Area MS,294,62,21.1%
127041203,Beaver Area SD,SD,0640,Beaver Area SHS,737,144,19.5%
127041203,Beaver Area SD,SD,8065,College Square El Sch,426,79,18.5%
127041203,Beaver Area SD,SD,7823,Dutch Ridge El Sch,632,138,21.8%
127041307,Beaver County CTC,CTC,6985,Beaver County CTC,603,301,49.9%
127000000,Beaver Valley IU 27,IU,0000,Beaver Valley IU 27,153,75,49.0%
108051003,Bedford Area SD,SD,7545,Bedford El Sch,729,361,49.5%
108051003,Bedford Area SD,SD,7021,Bedford MS,441,214,48.5%
108051003,Bedford Area SD,SD,0726,Bedford SHS,639,254,39.7%
108051307,Bedford County Technical Center,CTC,7096,Bedford County Technical Center,528,274,51.9%
107650603,Belle Vernon Area SD,SD,4930,Belle Vernon Area HS,822,237,28.8%
107650603,Belle Vernon Area SD,SD,8269,Belle Vernon Area MS,383,120,31.3%
107650603,Belle Vernon Area SD,SD,4328,Marion El Sch,636,269,42.3%
107650603,Belle Vernon Area SD,SD,4325,Rostraver El Sch,640,177,27.7%
110141103,Bellefonte Area SD,SD,1343,Bellefonte Area HS,844,235,27.8%
110141103,Bellefonte Area SD,SD,1342,Bellefonte Area MS,642,219,34.1%
110141103,Bellefonte Area SD,SD,1341,Bellefonte El Sch,376,185,49.2%
110141103,Bellefonte Area SD,SD,1339,Benner El Sch,266,76,28.6%
110141103,Bellefonte Area SD,SD,1340,Marion-Walker El Sch,348,78,22.4%
110141103,Bellefonte Area SD,SD,6229,Pleasant Gap El Sch,220,80,36.4%
108071003,Bellwood-Antis SD,SD,7144,Bellwood Antis MS,390,139,35.6%
108071003,Bellwood-Antis SD,SD,0917,Bellwood-Antis HS,377,123,32.6%
108071003,Bellwood-Antis SD,SD,0914,Lewis M Myers El Sch,482,178,36.9%
126510010,Belmont Charter School,CS,7750,Belmont Charter School,707,678,95.9%
122091002,Bensalem Township SD,SD,5211,Belmont Hills El Sch,460,203,44.1%
122091002,Bensalem Township SD,SD,4675,Benjamin Rush El Sch,380,314,82.6%
122091002,Bensalem Township SD,SD,5116,Bensalem Twp HS,"1,734",826,47.6%
122091002,Bensalem Township SD,SD,6451,Cecelia Snyder MS,415,184,44.3%
122091002,Bensalem Township SD,SD,1006,Cornwells El Sch,429,222,51.7%
122091002,Bensalem Township SD,SD,7030,Robert K Shafer MS,503,285,56.7%
122091002,Bensalem Township SD,SD,6896,Russell C Struble El Sch,398,148,37.2%
122091002,Bensalem Township SD,SD,1008,Samuel K Faust El Sch,521,411,78.9%
122091002,Bensalem Township SD,SD,6788,Valley El Sch,556,197,35.4%
116191004,Benton Area SD,SD,1594,Appleman El Sch,372,139,37.4%
116191004,Benton Area SD,SD,1595,Benton Area MSHS,299,106,35.5%
101630903,Bentworth SD,SD,7987,Bentworth El Ctr,426,203,47.7%
101630903,Bentworth SD,SD,7988,Bentworth MS,366,160,43.7%
