Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year:  2010 - 2011,,,,,,,
,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,686,221,32.2%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,610,157,25.7%
128000000,ARIN IU 28,IU,9999,ARIN IU 28,103,72,69.9%
168518013,ARISE Academy Charter High School,CS,8122,ARISE Academy Charter High School,214,74,34.6%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,193",148,12.4%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,044",149,14.3%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,362,64,17.7%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,284,57,20.1%
119350303,Abington Heights SD,SD,6398,South Abington Sch,270,27,10.0%
119350303,Abington Heights SD,SD,2402,Waverly Sch,299,46,15.4%
123460302,Abington SD,SD,3242,Abington JHS,"1,700",311,18.3%
123460302,Abington SD,SD,3241,Abington SHS,"1,913",285,14.9%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,023",180,17.6%
123460302,Abington SD,SD,3229,Highland Sch,439,73,16.6%
123460302,Abington SD,SD,5075,McKinley Sch,621,82,13.2%
123460302,Abington SD,SD,3232,Overlook Sch,447,106,23.7%
123460302,Abington SD,SD,3234,Roslyn Sch,426,102,23.9%
123460302,Abington SD,SD,3226,Rydal East Sch,540,40,7.4%
123460302,Abington SD,SD,4910,Willow Hill Sch,356,122,34.3%
102020003,Academy CS,CS,7846,Academy CS,175,141,80.6%
125230001,Achievement House CS,CS,7824,Achievement House CS,536,173,32.3%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,329,156,47.4%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,437,241,55.1%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"5,861","3,726",63.6%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,251,123,49.0%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,111",549,49.4%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,484,254,52.5%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,396,249,62.9%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,233,150,64.4%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,239,154,64.4%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,342,226,66.1%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,238,190,79.8%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,302,169,56.0%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,685,599,87.4%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,514,443,86.2%
103000000,Allegheny IU 3,IU,9999,Allegheny IU 3,592,240,40.5%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,302,124,41.1%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,243,78,32.1%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,522,181,34.7%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,365,155,42.5%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,424,141,33.3%
121390302,Allentown City SD,SD,2790,Central El Sch,701,676,96.4%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,259,252,97.3%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,902,838,92.9%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,889,833,93.7%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,751,671,89.3%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,656,600,91.5%
121390302,Allentown City SD,SD,2775,Lehigh Park El Sch,305,238,78.0%
121390302,Allentown City SD,SD,7131,Lincoln Early Chld Ctr,279,269,96.4%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,844","1,567",85.0%
121390302,Allentown City SD,SD,8140,Luis A. Ramos El Sch,809,732,90.5%
121390302,Allentown City SD,SD,2777,McKinley El Sch,244,233,95.5%
121390302,Allentown City SD,SD,2778,Midway Manor Early Chld Ctr,309,269,87.1%
121390302,Allentown City SD,SD,2779,Mosser El Sch,651,597,91.7%
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,550,380,69.1%
121390302,Allentown City SD,SD,2781,Ritter El Sch,573,461,80.5%
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,771,693,89.9%
121390302,Allentown City SD,SD,6448,Sheridan El Sch,627,609,97.1%
121390302,Allentown City SD,SD,2793,South Mountain MS,"1,075",963,89.6%
121390302,Allentown City SD,SD,4929,Trexler MS,922,831,90.1%
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,767,661,86.2%
121390302,Allentown City SD,SD,2786,Washington El Sch,547,526,96.2%
121390302,Allentown City SD,SD,2794,William Allen HS,"2,923","2,377",81.3%
126512990,Alliance for Progress CS,CS,7543,Alliance for Progress CS,328,240,73.2%
108070502,Altoona Area SD,SD,0913,Altoona Area HS,"1,741",764,43.9%
108070502,Altoona Area SD,SD,7986,Altoona Area Jr HS,"1,801",940,52.2%
108070502,Altoona Area SD,SD,0891,Baker El Sch,314,123,39.2%
108070502,Altoona Area SD,SD,0908,Irving El Sch,335,113,33.7%
108070502,Altoona Area SD,SD,0895,Juniata El Sch,410,251,61.2%
108070502,Altoona Area SD,SD,0930,Juniata Gap El Sch,594,318,53.5%
108070502,Altoona Area SD,SD,7425,Kimmel Alternative School,43,31,72.1%
108070502,Altoona Area SD,SD,0933,Logan El Sch,620,329,53.1%
108070502,Altoona Area SD,SD,7199,Mowrie A Ebner El Sch,549,325,59.2%
108070502,Altoona Area SD,SD,0909,Penn-Lincoln El Sch,384,342,89.1%
108070502,Altoona Area SD,SD,0902,Pleasant Valley El Sch,565,279,49.4%
108070502,Altoona Area SD,SD,6708,Washington-Jefferson El Sch,319,262,82.1%
108070502,Altoona Area SD,SD,5302,Wright El Sch,309,265,85.8%
127040703,Ambridge Area SD,SD,6555,Ambridge Area HS,800,306,38.3%
127040703,Ambridge Area SD,SD,0633,Ambridge Area JHS,410,181,44.1%
127040703,Ambridge Area SD,SD,0629,Economy El Sch,696,185,26.6%
127040703,Ambridge Area SD,SD,0661,Highland El Sch,571,349,61.1%
127040703,Ambridge Area SD,SD,0632,State Street El Sch,308,146,47.4%
113380303,Annville-Cleona SD,SD,2725,Annville Cleona JSHS,787,152,19.3%
113380303,Annville-Cleona SD,SD,2724,Annville El Sch,456,129,28.3%
113380303,Annville-Cleona SD,SD,2723,Cleona El Sch,319,95,29.8%
114060503,Antietam SD,SD,0820,Antietam MS/HS,480,159,33.1%
114060503,Antietam SD,SD,5205,Mt Penn El Sch,412,179,43.4%
114060503,Antietam SD,SD,7838,Mt Penn Primary Ctr,154,58,37.7%
104510394,Antonia Pantoja Community Charter School,CS,8031,Antonia Pantoja Community Charter School,735,674,91.7%
128030603,Apollo-Ridge SD,SD,7787,Apollo-Ridge Elem Sch,611,308,50.4%
128030603,Apollo-Ridge SD,SD,2320,Apollo-Ridge HS,417,176,42.2%
128030603,Apollo-Ridge SD,SD,6570,Apollo-Ridge MS,369,170,46.1%
108000000,Appalachia IU 8,IU,9999,Appalachia IU 8,406,0,0.0%
128030852,Armstrong SD,SD,0569,Dayton El Sch,282,145,51.4%
128030852,Armstrong SD,SD,6574,Elderton El Sch,269,88,32.7%
128030852,Armstrong SD,SD,0582,Elderton JSHS,287,88,30.7%
