Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year: 2012 - 2013,,,,,,,
 ,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,754,132,17.5%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,613,194,31.6%
126514368,ACT Academy Cyber CS,CS,8217,ACT Academy Cyber CS,89,58,65.2%
128000000,ARIN IU 28,IU,0000,ARIN IU 28,8,1,12.5%
168518013,ARISE Academy Charter High School,CS,8122,ARISE Academy Charter High School,158,158,100.0%
181519176,ASPIRA Bilingual Cyber Charter School,CS,8148,ASPIRA Bilingual Cyber Charter School,148,146,98.6%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,078",149,13.8%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,047",180,17.2%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,356,47,13.2%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,289,84,29.1%
119350303,Abington Heights SD,SD,6398,South Abington Sch,258,31,12.0%
119350303,Abington Heights SD,SD,2402,Waverly Sch,288,40,13.9%
123460302,Abington SD,SD,3242,Abington JHS,"1,731",329,19.0%
123460302,Abington SD,SD,3241,Abington SHS,"1,799",307,17.1%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,086",194,17.9%
123460302,Abington SD,SD,3229,Highland Sch,468,81,17.3%
123460302,Abington SD,SD,5075,McKinley Sch,628,82,13.1%
123460302,Abington SD,SD,3232,Overlook Sch,500,124,24.8%
123460302,Abington SD,SD,3234,Roslyn Sch,439,93,21.2%
123460302,Abington SD,SD,3226,Rydal East Sch,567,46,8.1%
123460302,Abington SD,SD,4910,Willow Hill Sch,368,143,38.9%
102020003,Academy CS,CS,7846,Academy CS,186,153,82.3%
125230001,Achievement House CS,CS,7824,Achievement House CS,802,456,56.9%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,407,270,66.3%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,436,228,52.3%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"9,175","6,563",71.5%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,249,139,55.8%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,144",598,52.3%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,424,236,55.7%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,413,257,62.2%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,250,168,67.2%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,220,139,63.2%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,279,181,64.9%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,237,188,79.3%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,315,182,57.8%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,710,603,84.9%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,485,428,88.2%
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,541,229,42.3%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,303,165,54.5%
103020603,Allegheny Valley SD,SD,9999,Allegheny Valley SD,14,5,35.7%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,216,107,49.5%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,476,197,41.4%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,340,146,42.9%
