Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year: 2013 - 2014,,,,,,,
 ,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,846,135,16.0%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,655,212,32.4%
126514368,ACT Academy Cyber CS,CS,8217,ACT Academy Cyber CS,157,157,100.0%
128000000,ARIN IU 28,IU,0000,ARIN IU 28,11,0,0.0%
168518013,ARISE Academy Charter High School,CS,8122,ARISE Academy Charter High School,100,100,100.0%
181519176,ASPIRA Bilingual Cyber Charter School,CS,8148,ASPIRA Bilingual Cyber Charter School,150,146,97.3%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,066",126,11.8%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,041",156,15.0%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,356,52,14.6%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,289,71,24.6%
119350303,Abington Heights SD,SD,6398,South Abington Sch,273,31,11.4%
119350303,Abington Heights SD,SD,2402,Waverly Sch,281,37,13.2%
123460302,Abington SD,SD,3242,Abington JHS,"1,717",348,20.3%
123460302,Abington SD,SD,3241,Abington SHS,"1,745",313,17.9%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,099",226,20.6%
123460302,Abington SD,SD,3229,Highland Sch,490,99,20.2%
123460302,Abington SD,SD,5075,McKinley Sch,667,102,15.3%
123460302,Abington SD,SD,3232,Overlook Sch,513,136,26.5%
123460302,Abington SD,SD,3234,Roslyn Sch,443,104,23.5%
123460302,Abington SD,SD,3226,Rydal East Sch,592,57,9.6%
123460302,Abington SD,SD,4910,Willow Hill Sch,373,144,38.6%
102020003,Academy CS,CS,7846,Academy CS,188,145,77.1%
125230001,Achievement House CS,CS,7824,Achievement House CS,930,621,66.8%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,539,339,62.9%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,410,229,55.9%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"9,490","6,674",70.3%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,244,133,54.5%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,152",646,56.1%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,412,250,60.7%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,415,277,66.7%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,248,148,59.7%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,210,136,64.8%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,290,193,66.6%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,248,199,80.2%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,302,176,58.3%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,696,637,91.5%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,474,416,87.8%
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,504,253,50.2%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,301,152,50.5%
103020603,Allegheny Valley SD,SD,9999,Allegheny Valley SD,8,2,25.0%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,229,102,44.5%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,453,159,35.1%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,338,145,42.9%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,365,147,40.3%
121390302,Allentown City SD,SD,9999,Allentown City SD,180,149,82.8%
121390302,Allentown City SD,SD,2790,Central El Sch,819,675,82.4%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,283,268,94.7%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,867,797,91.9%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,838,781,93.2%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,679,553,81.4%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,667,581,87.1%
121390302,Allentown City SD,SD,2775,Lehigh Parkway El Sch,314,245,78.0%
121390302,Allentown City SD,SD,7131,Lincoln Early Chld Ctr,414,294,71.0%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,716","1,517",88.4%
