Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year: 2016 - 2017,,,,,,,
 ,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,964,103,10.7%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,676,267,39.5%
126514368,ACT Academy Cyber CS,CS,8217,ACT Academy Cyber CS,146,113,77.4%
128000000,ARIN IU 28,IU,0000,ARIN IU 28,86,51,59.3%
181519176,ASPIRA Bilingual Cyber Charter School,CS,8148,ASPIRA Bilingual Cyber Charter School,261,214,82.0%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,042",181,17.4%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,079",208,19.3%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,359,79,22.0%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,247,72,29.1%
119350303,Abington Heights SD,SD,6398,South Abington Sch,287,38,13.2%
119350303,Abington Heights SD,SD,2402,Waverly Sch,291,51,17.5%
123460302,Abington SD,SD,3242,Abington JHS,"1,855",439,23.7%
123460302,Abington SD,SD,3241,Abington SHS,"1,748",443,25.3%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,089",230,21.1%
123460302,Abington SD,SD,3229,Highland Sch,517,143,27.7%
123460302,Abington SD,SD,5075,McKinley Sch,726,139,19.1%
123460302,Abington SD,SD,3232,Overlook Sch,527,166,31.5%
123460302,Abington SD,SD,3234,Roslyn Sch,512,139,27.1%
123460302,Abington SD,SD,3226,Rydal East Sch,592,63,10.6%
123460302,Abington SD,SD,4910,Willow Hill Sch,404,182,45.0%
102020003,Academy CS,CS,7846,Academy CS,110,49,44.5%
125230001,Achievement House CS,CS,7824,Achievement House CS,458,318,69.4%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,672,292,43.5%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,494,313,63.4%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"5,883","4,414",75.0%
101260303,Albert Gallatin Area SD,SD,8364,A L Wilson El Sch,402,217,54.0%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,100",536,48.7%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,407,220,54.1%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,390,219,56.2%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,208,111,53.4%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,346,220,63.6%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,240,177,73.8%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,320,171,53.4%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,637,637,100.0%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,442,440,99.5%
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,522,283,54.2%
