Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year:  2009 - 2010,,,,,,,
,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,594,195,32.8%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,622,108,17.4%
128000000,ARIN IU 28,IU,9999,ARIN IU 28,96,60,62.5%
168518013,ARISE Academy Charter High School,CS,8122,ARISE Academy Charter High School,180,180,100.0%
123460302,Abington  SD,SD,3242,Abington JHS,"1,733",285,16.4%
123460302,Abington  SD,SD,3241,Abington SHS,"1,915",246,12.8%
123460302,Abington  SD,SD,7707,Copper Beech Sch,984,137,13.9%
123460302,Abington  SD,SD,3229,Highland Sch,402,53,13.2%
123460302,Abington  SD,SD,5075,McKinley Sch,596,85,14.3%
123460302,Abington  SD,SD,3232,Overlook Sch,451,112,24.8%
123460302,Abington  SD,SD,3234,Roslyn Sch,455,100,22.0%
123460302,Abington  SD,SD,3226,Rydal East Sch,546,33,6.0%
123460302,Abington  SD,SD,4910,Willow Hill Sch,341,117,34.3%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,189",109,9.2%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,062",109,10.3%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,397,29,7.3%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,281,41,14.6%
119350303,Abington Heights SD,SD,6398,South Abington Sch,267,15,5.6%
119350303,Abington Heights SD,SD,2402,Waverly Sch,278,18,6.5%
102020003,Academy CS,CS,7846,Academy CS,145,91,62.8%
125230001,Achievement House CS,CS,7824,Achievement House CS,272,143,52.6%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,232,105,45.3%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,473,252,53.3%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"4,484","2,821",62.9%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,268,145,54.1%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,166",693,59.4%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,496,246,49.6%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,384,247,64.3%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,234,129,55.1%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,207,129,62.3%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,346,221,63.9%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,251,198,78.9%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,325,200,61.5%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,687,588,85.6%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,509,385,75.6%
103000000,Allegheny IU 3,IU,9999,Allegheny IU 3,542,193,35.6%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,302,131,43.4%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,256,96,37.5%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,562,205,36.5%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,398,195,49.0%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,472,181,38.3%
121390302,Allentown City SD,SD,2790,Central El Sch,730,681,93.3%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,274,254,92.7%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,884,758,85.7%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,833,689,82.7%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,736,594,80.7%
121390302,Allentown City SD,SD,2773,Jackson El Sch,383,343,89.6%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,646,527,81.6%
121390302,Allentown City SD,SD,2775,Lehigh Park El Sch,250,176,70.4%
121390302,Allentown City SD,SD,7131,Lincoln Early Chld Ctr,394,359,91.1%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,734","1,159",66.8%
121390302,Allentown City SD,SD,2777,McKinley El Sch,227,213,93.8%
121390302,Allentown City SD,SD,2778,Midway Manor Early Chld Ctr,351,279,79.5%
121390302,Allentown City SD,SD,2779,Mosser El Sch,700,586,83.7%
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,610,378,62.0%
