Percent Of Enrollments from Low-Income Families,,,,,,,,,
,,,,,,,,,
School Level,,,,,,,,,
Year: 2021-2022,,,,,,,,,
SUBMITTING AUN,LEA NAME,LEA TYPE,SCHOOL NUMBER,SCHOOL NAME,TOTAL ENROLLMENT,LOW INCOME ENROLLMENT,PERCENT OF ENROLLMENT FROM LOW INCOME FAMILIES,,
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,1538,269,17.5%,,
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,851,307,36.1%,,
119350303,Abington Heights SD,SD,5091,Abington Heights HS,1082,201,18.6%,,
119350303,Abington Heights SD,SD,6839,Abington Heights MS,1116,188,16.8%,,
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,385,26,6.8%,,
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,212,32,15.1%,,
119350303,Abington Heights SD,SD,6398,South Abington Sch,284,13,4.6%,,
119350303,Abington Heights SD,SD,2402,Waverly Sch,308,15,4.9%,,
123460302,Abington SD,SD,3242,Abington JHS,2017,520,25.8%,,
123460302,Abington SD,SD,3241,Abington SHS,1954,500,25.6%,,
123460302,Abington SD,SD,7707,Copper Beech Sch,1060,255,24.1%,,
123460302,Abington SD,SD,3229,Highland Sch,480,133,27.7%,,
123460302,Abington SD,SD,5075,McKinley Sch,696,158,22.7%,,
123460302,Abington SD,SD,3232,Overlook Sch,526,178,33.8%,,
123460302,Abington SD,SD,3234,Roslyn Sch,492,131,26.6%,,
123460302,Abington SD,SD,3226,Rydal East Sch,590,111,18.8%,,
123460302,Abington SD,SD,4910,Willow Hill Sch,477,190,39.8%,,
125230001,Achievement House CS,CS,7824,Achievement House CS,907,542,59.8%,,
126510015,Ad Prima CS,CS,7825,Ad Prima CS,607,607,100.0%,,
112015106,Adams County Technical Institute,CTC,8471,Adams County Technical Institute,259,44,17.0%,,
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,611,290,47.5%,,
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,5205,2232,42.9%,,
101260303,Albert Gallatin Area SD,SD,8364,A L Wilson El Sch,358,208,58.1%,,
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,999,473,47.3%,,
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,364,190,52.2%,,
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,365,206,56.4%,,
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,176,112,63.6%,,
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,337,203,60.2%,,
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,255,180,70.6%,,
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,260,130,50.0%,,
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,541,536,99.1%,,
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,475,474,99.8%,,
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,516,408,79.1%,,
103020603,Allegheny Valley SD,SD,5296,Acmetonia El Sch,496,197,39.7%,,
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,389,166,42.7%,,
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,324,135,41.7%,,
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,260,93,35.8%,,
121390302,Allentown City SD,SD,8484,Brigadier General Anna Mae Hays El Sch,810,701,86.5%,,
121390302,Allentown City SD,SD,8412,Building 21 Allentown,446,347,77.8%,,
121390302,Allentown City SD,SD,2790,Central El Sch,696,603,86.6%,,
121390302,Allentown City SD,SD,2792,Francis D Raub MS,1003,818,81.6%,,
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,771,609,79.0%,,
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,631,479,75.9%,,
121390302,Allentown City SD,SD,8413,Jackson Early Childhood Center,236,204,86.4%,,
121390302,Allentown City SD,SD,2774,Jefferson El Sch,506,406,80.2%,,
121390302,Allentown City SD,SD,2775,Lehigh Parkway El Sch,288,176,61.1%,,
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,1880,1357,72.2%,,
121390302,Allentown City SD,SD,8140,Luis A. Ramos El Sch,595,511,85.9%,,
