Fiscal Year,AUN,School District,County,"
Market
Value","
Personal
Income","
WADM","MV per
WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,mvpi
20222023,112011103,Bermudian Springs SD,Adams,"$832,654,674","$383,282,319","2,288.567","$363,832",0.6216,"$167,476",0.5828,0.6060
20222023,112011603,Conewago Valley SD,Adams,"$1,791,835,880","$784,270,948","4,709.345","$380,485",0.6043,"$166,535",0.5852,0.5965
20222023,112013054,Fairfield Area SD,Adams,"$673,634,646","$240,523,853","1,162.393","$579,524",0.3973,"$206,921",0.4846,0.4321
20222023,112013753,Gettysburg Area SD,Adams,"$2,249,593,274","$730,039,655","3,728.838","$603,296",0.3725,"$195,782",0.5123,0.4284
20222023,112015203,Littlestown Area SD,Adams,"$1,032,820,320","$404,793,973","2,489.419","$414,884",0.5685,"$162,605",0.5950,0.5791
20222023,112018523,Upper Adams SD,Adams,"$665,312,694","$301,576,086","2,039.291","$326,247",0.6607,"$147,882",0.6316,0.6490
20222023,103020603,Allegheny Valley SD,Allegheny,"$693,672,147","$302,912,508","1,095.848","$633,000",0.3416,"$276,418",0.3114,0.3294
20222023,103020753,Avonworth SD,Allegheny,"$1,189,283,572","$622,152,213","2,188.953","$543,311",0.4349,"$284,223",0.2920,0.3777
20222023,103021102,Baldwin-Whitehall SD,Allegheny,"$1,857,671,009","$1,033,734,982","5,028.691","$369,414",0.6158,"$205,567",0.4879,0.5645
20222023,103021252,Bethel Park SD,Allegheny,"$2,477,015,972","$1,146,901,271","4,715.492","$525,293",0.4537,"$243,219",0.3941,0.4298
20222023,103021453,Brentwood Borough SD,Allegheny,"$367,572,086","$245,025,661","1,401.903","$262,195",0.7273,"$174,780",0.5646,0.6621
20222023,103021603,Carlynton SD,Allegheny,"$689,472,496","$393,889,926","1,693.893","$407,034",0.5767,"$232,535",0.4208,0.5143
20222023,103021752,Chartiers Valley SD,Allegheny,"$2,208,447,804","$1,183,049,981","3,936.055","$561,081",0.4165,"$300,567",0.2513,0.3504
20222023,103021903,Clairton City SD,Allegheny,"$133,929,836","$84,065,672","1,116.031","$120,005",0.8752,"$75,325",0.8124,0.8500
20222023,103022103,Cornell SD,Allegheny,"$358,665,743","$146,533,610",692.916,"$517,617",0.4617,"$211,473",0.4732,0.4662
20222023,103022253,Deer Lakes SD,Allegheny,"$952,693,677","$410,257,988","2,225.340","$428,111",0.5548,"$184,357",0.5408,0.5491
20222023,103022503,Duquesne City SD,Allegheny,"$91,481,602","$56,900,307","1,050.975","$87,044",0.9095,"$54,140",0.8652,0.8917
20222023,103022803,East Allegheny SD,Allegheny,"$496,535,612","$253,404,913","2,049.847","$242,230",0.7481,"$123,621",0.6921,0.7256
20222023,103023153,Elizabeth Forward SD,Allegheny,"$819,074,130","$473,412,241","2,747.190","$298,149",0.6899,"$172,325",0.5708,0.6422
20222023,103023912,Fox Chapel Area SD,Allegheny,"$3,406,328,911","$2,022,280,386","4,860.931","$700,756",0.2712,"$416,027",0.1000,0.2027
20222023,103024102,Gateway SD,Allegheny,"$2,221,399,013","$816,406,135","4,252.169","$522,415",0.4567,"$191,997",0.5217,0.4826
20222023,103024603,Hampton Township SD,Allegheny,"$1,726,888,077","$965,102,439","3,186.830","$541,882",0.4364,"$302,840",0.2456,0.3600
20222023,103024753,Highlands SD,Allegheny,"$734,296,539","$411,141,297","2,780.050","$264,130",0.7253,"$147,889",0.6316,0.6877
