Fiscal Year,AUN,LEA Name,County,"
Market
Value","
Personal
Income","
WADM","MV per
WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,mvpi
20172018,112011103,Bermudian Springs SD,Adams,"$754,878,171","$336,778,112","2,432.103","$310,380",0.6265,"$138,471",0.6073,0.6188
20172018,112011603,Conewago Valley SD,Adams,"$1,638,148,704","$654,805,408","4,616.620","$354,837",0.5729,"$141,836",0.5978,0.5828
20172018,112013054,Fairfield Area SD,Adams,"$630,394,375","$284,756,050","1,282.354","$491,591",0.4083,"$222,057",0.3703,0.3930
20172018,112013753,Gettysburg Area SD,Adams,"$2,158,114,814","$682,034,331","3,629.497","$594,604",0.2843,"$187,914",0.4671,0.3573
20172018,112015203,Littlestown Area SD,Adams,"$952,294,054","$367,548,434","2,425.962","$392,542",0.5276,"$151,506",0.5704,0.5446
20172018,112018523,Upper Adams SD,Adams,"$625,405,317","$256,712,232","2,067.829","$302,445",0.6360,"$124,145",0.6480,0.6408
20172018,103020603,Allegheny Valley SD,Allegheny,"$627,475,824","$277,183,520","1,123.567","$558,467",0.3278,"$246,699",0.3004,0.3167
20172018,103020753,Avonworth SD,Allegheny,"$890,161,311","$550,767,370","1,913.950","$465,091",0.4402,"$287,764",0.1839,0.3376
20172018,103021102,Baldwin-Whitehall SD,Allegheny,"$1,605,596,160","$952,941,983","5,035.834","$318,834",0.6163,"$189,232",0.4634,0.5550
20172018,103021252,Bethel Park SD,Allegheny,"$2,170,523,119","$1,067,046,184","5,050.095","$429,798",0.4827,"$211,292",0.4008,0.4499
20172018,103021453,Brentwood Borough SD,Allegheny,"$326,687,914","$209,599,038","1,437.192","$227,309",0.7264,"$145,839",0.5864,0.6703
20172018,103021603,Carlynton SD,Allegheny,"$609,969,195","$367,109,461","1,692.840","$360,323",0.5663,"$216,860",0.3850,0.4937
20172018,103021752,Chartiers Valley SD,Allegheny,"$1,912,907,499","$1,957,904,858","3,993.850","$478,963",0.4235,"$490,229",0.1000,0.2941
20172018,103021903,Clairton City SD,Allegheny,"$125,495,085","$78,408,418","1,031.493","$121,663",0.8536,"$76,014",0.7845,0.8259
20172018,103022103,Cornell SD,Allegheny,"$327,993,463","$120,707,281",816.326,"$401,792",0.5164,"$147,866",0.5807,0.5420
20172018,103022253,Deer Lakes SD,Allegheny,"$1,001,635,260","$385,063,577","2,339.944","$428,059",0.4848,"$164,561",0.5333,0.5041
20172018,103022503,Duquesne City SD,Allegheny,"$96,876,146","$50,883,192",929.016,"$104,278",0.8745,"$54,771",0.8447,0.8625
20172018,103022803,East Allegheny SD,Allegheny,"$494,152,249","$245,264,387","2,196.060","$225,017",0.7292,"$111,683",0.6833,0.7108
20172018,103023153,Elizabeth Forward SD,Allegheny,"$740,561,117","$440,911,896","2,794.032","$265,051",0.6810,"$157,804",0.5525,0.6296
20172018,103023912,Fox Chapel Area SD,Allegheny,"$3,075,002,381","$1,974,672,087","4,959.089","$620,074",0.2537,"$398,192",0.1000,0.1922
20172018,103024102,Gateway SD,Allegheny,"$2,194,214,949","$818,815,470","4,248.494","$516,468",0.3784,"$192,730",0.4534,0.4083
20172018,103024603,Hampton Township SD,Allegheny,"$1,472,597,145","$926,401,530","3,420.077","$430,574",0.4818,"$270,871",0.2318,0.3817
20172018,103024753,Highlands SD,Allegheny,"$696,542,663","$408,344,745","3,112.883","$223,761",0.7307,"$131,178",0.6280,0.6896
20172018,103025002,Keystone Oaks SD,Allegheny,"$1,175,800,174","$549,375,292","2,267.526","$518,538",0.3759,"$242,279",0.3129,0.3506
20172018,103026002,McKeesport Area SD,Allegheny,"$785,031,913","$451,506,403","4,669.421","$168,121",0.7977,"$96,694",0.7258,0.7689
20172018,103026303,Montour SD,Allegheny,"$2,331,013,129","$892,028,235","3,441.511","$677,322",0.1848,"$259,196",0.2649,0.2167
