county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,159,82,51.57%,79,49.69%,84,52.83%,2,1.26%,3,1.89%
,,,9999,Bermudian Springs SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,112011603,Conewago Valley SD,0017,New Oxford SHS,279,209,74.91%,194,69.53%,210,75.27%,1,0.36%,15,5.38%
,,,9999,Conewago Valley SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,90,67,74.44%,67,74.44%,70,77.78%,3,3.33%,0,0.00%
,,,9999,Fairfield Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,232,173,74.57%,161,69.40%,181,78.02%,8,3.45%,12,5.17%
,,,9999,Gettysburg Area SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112015203,Littlestown Area SD,0014,Littlestown SHS,130,80,61.54%,80,61.54%,81,62.31%,1,0.77%,0,0.00%
,,,9999,Littlestown Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,133,78,58.65%,78,58.65%,80,60.15%,2,1.50%,0,0.00%
,,,9999,Upper Adams SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,125,101,80.80%,99,79.20%,104,83.20%,3,2.40%,2,1.60%
,102020003,The New Academy CS,7846,The New Academy CS,20,10,50.00%,10,50.00%,14,70.00%,4,20.00%,0,0.00%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,35,23,65.71%,22,62.86%,23,65.71%,0,0.00%,1,2.86%
,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,356,104,29.21%,104,29.21%,105,29.49%,1,0.28%,0,0.00%
,,,0412,Pittsburgh Carrick HS,174,57,32.76%,54,31.03%,60,34.48%,3,1.72%,3,1.72%
,,,0416,Pittsburgh Perry HS,112,5,4.46%,4,3.57%,6,5.36%,1,0.89%,1,0.89%
,,,6047,Pittsburgh Oliver,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6664,Pittsburgh Pioneer,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6811,Pittsburgh Conroy,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6915,Pittsburgh Brashear HS,289,1,0.35%,1,0.35%,1,0.35%,0,0.00%,0,0.00%
,,,8105,Pittsburgh Obama 6-12,115,81,70.43%,81,70.43%,81,70.43%,0,0.00%,0,0.00%
,,,8106,Pittsburgh CAPA 6-12,125,119,95.20%,119,95.20%,120,96.00%,1,0.80%,0,0.00%
,,,8107,Pittsburgh Science and Technology Academ,76,4,5.26%,4,5.26%,4,5.26%,0,0.00%,0,0.00%
,,,8110,Pittsburgh Milliones 6-12,74,8,10.81%,7,9.46%,9,12.16%,1,1.35%,1,1.35%
,,,8203,Academy at Westinghouse,88,3,3.41%,3,3.41%,3,3.41%,0,0.00%,0,0.00%
,,,8300,Pittsburgh Online Academy,31,1,3.23%,1,3.23%,1,3.23%,0,0.00%,0,0.00%
,,,9999,Pittsburgh SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103020002,Propel CS-Homestead,7772,Propel CS-Homestead,33,26,78.79%,26,78.79%,29,87.88%,3,9.09%,0,0.00%
,103020603,Allegheny Valley SD,0029,Springdale JSHS,65,47,72.31%,47,72.31%,47,72.31%,0,0.00%,0,0.00%
,103020753,Avonworth SD,5199,Avonworth HS,122,117,95.90%,116,95.08%,117,95.90%,0,0.00%,1,0.82%
,,,9999,Avonworth SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021003,Pine-Richland SD,0315,Pine-Richland HS,411,362,88.08%,362,88.08%,369,89.78%,7,1.70%,0,0.00%
,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,322,257,79.81%,251,77.95%,258,80.12%,1,0.31%,6,1.86%
,103021252,Bethel Park SD,0062,Bethel Park HS,340,282,82.94%,282,82.94%,282,82.94%,0,0.00%,0,0.00%
,,,9999,Bethel Park SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021453,Brentwood Borough SD,0070,Brentwood SHS,74,26,35.14%,25,33.78%,26,35.14%,0,0.00%,1,1.35%
,,,9999,Brentwood Borough SD,5,3,60.00%,3,60.00%,3,60.00%,0,0.00%,0,0.00%
,103021603,Carlynton SD,0079,Carlynton JSHS,90,52,57.78%,51,56.67%,54,60.00%,2,2.22%,1,1.11%
,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,237,182,76.79%,179,75.53%,187,78.90%,5,2.11%,3,1.27%
