county,AUN,LEA,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,TOTAL COLLEGE BOUND %,2- OR 4-YEAR COLLEGE OR UNIVERSITY,2- OR 4-YEAR UNIVERSITY %,TOTAL POSTSECONDARY BOUND,TOTAL POSTSECONDARY BOUND %,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL %,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,167,86,51.50%,85,50.90%,89,53.29%,3,1.80%,1,0.60%
,,Bermudian Springs SD,,,167,86,51.50%,85,50.90%,89,53.29%,3,1.80%,1,0.60%
,112011603,Conewago Valley SD,0017,New Oxford SHS,278,164,58.99%,163,58.63%,167,60.07%,3,1.08%,1,0.36%
,,,9999,Conewago Valley SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Conewago Valley SD,,,279,164,58.78%,163,58.42%,167,59.86%,3,1.08%,1,0.36%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,89,56,62.92%,54,60.67%,57,64.04%,1,1.12%,2,2.25%
,,Fairfield Area SD,,,89,56,62.92%,54,60.67%,57,64.04%,1,1.12%,2,2.25%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,232,161,69.40%,155,66.81%,166,71.55%,5,2.16%,6,2.59%
,,Gettysburg Area SD,,,232,161,69.40%,155,66.81%,166,71.55%,5,2.16%,6,2.59%
,112015203,Littlestown Area SD,0014,Littlestown SHS,143,71,49.65%,71,49.65%,77,53.85%,6,4.20%,0,0.00%
,,Littlestown Area SD,,,143,71,49.65%,71,49.65%,77,53.85%,6,4.20%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,134,61,45.52%,61,45.52%,66,49.25%,5,3.73%,0,0.00%
,,,9999,Upper Adams SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Upper Adams SD,,,140,61,43.57%,61,43.57%,66,47.14%,5,3.57%,0,0.00%
Adams,,,,,"1,050",599,57.05%,589,56.10%,622,59.24%,23,2.19%,10,0.95%
Allegheny,102020001,City CHS,7727,City CHS,132,78,59.09%,73,55.30%,86,65.15%,8,6.06%,5,3.79%
,,City CHS,,,132,78,59.09%,73,55.30%,86,65.15%,8,6.06%,5,3.79%
,102020003,The New Academy CS,7846,The New Academy CS,19,5,26.32%,5,26.32%,5,26.32%,0,0.00%,0,0.00%
,,The New Academy CS,,,19,5,26.32%,5,26.32%,5,26.32%,0,0.00%,0,0.00%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,32,24,75.00%,22,68.75%,24,75.00%,0,0.00%,2,6.25%
,,,9999,Urban Pathways 6-12 CS,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,,Urban Pathways 6-12 CS,,,33,25,75.76%,23,69.70%,25,75.76%,0,0.00%,2,6.06%
,102023217,Passport Academy CS,8308,Passport Academy CS,80,25,31.25%,25,31.25%,41,51.25%,16,20.00%,0,0.00%
,,Passport Academy CS,,,80,25,31.25%,25,31.25%,41,51.25%,16,20.00%,0,0.00%
,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,331,228,68.88%,225,67.98%,244,73.72%,16,4.83%,3,0.91%
,,,0412,Pittsburgh Carrick HS,110,52,47.27%,43,39.09%,59,53.64%,7,6.36%,9,8.18%
,,,0416,Pittsburgh Perry HS,63,36,57.14%,28,44.44%,38,60.32%,2,3.17%,8,12.70%
,,,6047,Pittsburgh Oliver,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6664,Pittsburgh Pioneer,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
