county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,157,92,58.60%,85,54.14%,96,61.15%,4,2.55%,7,4.46%
,112011603,Conewago Valley SD,0017,New Oxford SHS,285,200,70.18%,181,63.51%,200,70.18%,0,0.00%,19,6.67%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,92,60,65.22%,59,64.13%,67,72.83%,7,7.61%,1,1.09%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,228,179,78.51%,168,73.68%,180,78.95%,1,0.44%,11,4.82%
,112015203,Littlestown Area SD,0014,Littlestown SHS,133,76,57.14%,69,51.88%,83,62.41%,7,5.26%,7,5.26%
,112018523,Upper Adams SD,0021,Biglerville HS,119,88,73.95%,85,71.43%,89,74.79%,1,0.84%,3,2.52%
Allegheny,102020001,City CHS,7727,City CHS,124,101,81.45%,96,77.42%,102,82.26%,1,0.81%,5,4.03%
,102020003,Academy CS,7846,Academy CS,23,19,82.61%,19,82.61%,19,82.61%,0,0.00%,0,0.00%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,39,31,79.49%,30,76.92%,31,79.49%,0,0.00%,1,2.56%
,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,304,257,84.54%,252,82.89%,262,86.18%,5,1.64%,5,1.64%
,,,0412,Pittsburgh Carrick HS,188,137,72.87%,124,65.96%,139,73.94%,2,1.06%,13,6.91%
,,,0416,Pittsburgh Perry HS,138,82,59.42%,73,52.90%,82,59.42%,0,0.00%,9,6.52%
,,,6047,Pittsburgh Oliver,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6664,Pittsburgh Pioneer,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6811,Pittsburgh Conroy,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6915,Pittsburgh Brashear HS,332,241,72.59%,234,70.48%,248,74.70%,7,2.11%,7,2.11%
,,,8105,Pittsburgh Obama 6-12,109,99,90.83%,99,90.83%,99,90.83%,0,0.00%,0,0.00%
,,,8106,Pittsburgh CAPA 6-12,140,133,95.00%,133,95.00%,133,95.00%,0,0.00%,0,0.00%
,,,8107,Pittsburgh Science and Technology Academ,79,64,81.01%,64,81.01%,64,81.01%,0,0.00%,0,0.00%
,,,8110,Pittsburgh Milliones 6-12,107,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,8203,Academy at Westinghouse,65,41,63.08%,41,63.08%,43,66.15%,2,3.08%,0,0.00%
,,,8300,Pittsburgh Online Academy,30,24,80.00%,24,80.00%,24,80.00%,0,0.00%,0,0.00%
,103020002,Propel CS-Homestead,7772,Propel CS-Homestead,45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103020603,Allegheny Valley SD,0029,Springdale JSHS,72,50,69.44%,50,69.44%,51,70.83%,1,1.39%,0,0.00%
,103020753,Avonworth SD,5199,Avonworth HS,93,81,87.10%,81,87.10%,84,90.32%,3,3.23%,0,0.00%
,103021003,Pine-Richland SD,0315,Pine-Richland HS,377,349,92.57%,349,92.57%,351,93.10%,2,0.53%,0,0.00%
,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,320,266,83.13%,257,80.31%,277,86.56%,11,3.44%,9,2.81%
,103021252,Bethel Park SD,0062,Bethel Park HS,357,293,82.07%,293,82.07%,293,82.07%,0,0.00%,0,0.00%
,103021453,Brentwood Borough SD,0070,Brentwood SHS,82,68,82.93%,65,79.27%,70,85.37%,2,2.44%,3,3.66%
,103021603,Carlynton SD,0079,Carlynton JSHS,95,69,72.63%,66,69.47%,73,76.84%,4,4.21%,3,3.16%
,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,262,224,85.50%,220,83.97%,230,87.79%,6,2.29%,4,1.53%
,103021903,Clairton City SD,8094,Clairton MS/HS,40,24,60.00%,24,60.00%,24,60.00%,0,0.00%,0,0.00%
,103022103,Cornell SD,8087,Cornell HS,44,28,63.64%,28,63.64%,28,63.64%,0,0.00%,0,0.00%
,103022253,Deer Lakes SD,0513,Deer Lakes HS,169,148,87.57%,148,87.57%,148,87.57%,0,0.00%,0,0.00%
,103022803,East Allegheny SD,8340,East Allegheny JSHS,113,83,73.45%,77,68.14%,84,74.34%,1,0.88%,6,5.31%
,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,199,129,64.82%,119,59.80%,132,66.33%,3,1.51%,10,5.03%
,103023410,Spectrum CS,7648,Spectrum CS,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023912,Fox Chapel Area SD,0156,Fox Chapel Area HS,363,329,90.63%,323,88.98%,334,92.01%,5,1.38%,6,1.65%
,103024102,Gateway SD,0170,Gateway SHS,296,231,78.04%,228,77.03%,234,79.05%,3,1.01%,3,1.01%
,103024603,Hampton Township SD,5190,Hampton HS,261,231,88.51%,230,88.12%,237,90.80%,6,2.30%,1,0.38%
,103024753,Highlands SD,5153,Highlands SHS,190,112,58.95%,100,52.63%,120,63.16%,8,4.21%,12,6.32%
,103025002,Keystone Oaks SD,5112,Keystone Oaks HS,164,122,74.39%,112,68.29%,123,75.00%,1,0.61%,10,6.10%
,103026002,McKeesport Area SD,6105,McKeesport Area SHS,239,143,59.83%,136,56.90%,163,68.20%,20,8.37%,7,2.93%
,103026303,Montour SD,5017,Montour HS,217,183,84.33%,173,79.72%,183,84.33%,0,0.00%,10,4.61%
,103026343,Moon Area SD,4951,Moon SHS,289,263,91.00%,257,88.93%,263,91.00%,0,0.00%,6,2.08%
,103026402,Mt Lebanon SD,0254,Mt Lebanon SHS,379,355,93.67%,355,93.67%,357,94.20%,2,0.53%,0,0.00%
,103026852,North Allegheny SD,8305,North Allegheny HS,665,615,92.48%,611,91.88%,624,93.83%,9,1.35%,4,0.60%
,103026873,Northgate SD,0053,Northgate MSHS,79,63,79.75%,56,70.89%,66,83.54%,3,3.80%,7,8.86%
,103026902,North Hills SD,7101,North Hills SHS,336,277,82.44%,273,81.25%,287,85.42%,10,2.98%,4,1.19%
,103027352,Penn Hills SD,0309,Penn Hills SHS,322,263,81.68%,253,78.57%,266,82.61%,3,0.93%,10,3.11%
,103027503,Plum Borough SD,0435,Plum SHS,308,261,84.74%,256,83.12%,267,86.69%,6,1.95%,5,1.62%
,103027753,Quaker Valley SD,0448,Quaker Valley HS,143,118,82.52%,118,82.52%,122,85.31%,4,2.80%,0,0.00%
,103028203,Riverview SD,6928,Riverview HS,66,61,92.42%,60,90.91%,61,92.42%,0,0.00%,1,1.52%
,103028302,Shaler Area SD,0460,Shaler Area HS,385,311,80.78%,305,79.22%,322,83.64%,11,2.86%,6,1.56%
,103028653,South Allegheny SD,0440,South Allegheny MS/HS,128,86,67.19%,84,65.63%,94,73.44%,8,6.25%,2,1.56%
,103028703,South Fayette Township SD,0470,South Fayette Twp HS,200,187,93.50%,186,93.00%,191,95.50%,4,2.00%,1,0.50%
,103028753,South Park SD,0467,South Park SHS,150,129,86.00%,129,86.00%,131,87.33%,2,1.33%,0,0.00%
,103028833,Steel Valley SD,0196,Steel Valley SHS,113,85,75.22%,79,69.91%,88,77.88%,3,2.65%,6,5.31%
,103028853,Sto-Rox SD,0477,Sto-Rox HS,76,43,56.58%,43,56.58%,43,56.58%,0,0.00%,0,0.00%
,103029203,Upper Saint Clair SD,0492,Upper Saint Clair HS,314,294,93.63%,291,92.68%,298,94.90%,4,1.27%,3,0.96%
,103029403,West Allegheny SD,0509,West Allegheny SHS,249,185,74.30%,174,69.88%,188,75.50%,3,1.20%,11,4.42%
,103029553,West Jefferson Hills SD,0523,Thomas Jefferson HS,241,204,84.65%,193,80.08%,213,88.38%,9,3.73%,11,4.56%
,103029603,West Mifflin Area SD,0536,West Mifflin Area HS,236,162,68.64%,152,64.41%,168,71.19%,6,2.54%,10,4.24%
,103029803,Wilkinsburg Borough SD,0555,Wilkinsburg SHS,21,9,42.86%,9,42.86%,9,42.86%,0,0.00%,0,0.00%
,103029902,Woodland Hills SD,0107,Woodland Hills JSHS,253,167,66.01%,162,64.03%,174,68.77%,7,2.77%,5,1.98%
,115220003,Pennsylvania Distance Learning CS,7821,Pennsylvania Distance Learning CS,52,22,42.31%,16,30.77%,22,42.31%,0,0.00%,6,11.54%
,160028259,Propel CS-Braddock Hills,8129,Propel CS-Braddock Hills,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Armstrong,128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,91,63,69.23%,60,65.93%,64,70.33%,1,1.10%,3,3.30%
,128030852,Armstrong SD,7640,West Shamokin JSHS,66,50,75.76%,48,72.73%,50,75.76%,0,0.00%,2,3.03%
,,,8342,Armstrong JSHS,181,125,69.06%,125,69.06%,125,69.06%,0,0.00%,0,0.00%
,128033053,Freeport Area SD,0594,Freeport Area SHS,132,111,84.09%,106,80.30%,111,84.09%,0,0.00%,5,3.79%
,128034503,Leechburg Area SD,7923,Leechburg Area HS,60,35,58.33%,34,56.67%,38,63.33%,3,5.00%,1,1.67%
,128034607,Lenape Tech,4807,Lenape Tech,183,51,27.87%,47,25.68%,73,39.89%,22,12.02%,4,2.19%
Beaver,127040002,Lincoln Park Performing Arts CS,7859,Lincoln Park Performing Arts CS,149,112,75.17%,112,75.17%,122,81.88%,10,6.71%,0,0.00%
,127040503,Aliquippa SD,8086,Aliquippa JSHS,76,50,65.79%,44,57.89%,50,65.79%,0,0.00%,6,7.89%
,127040703,Ambridge Area SD,6555,Ambridge Area HS,184,124,67.39%,109,59.24%,127,69.02%,3,1.63%,15,8.15%
,127041203,Beaver Area SD,0640,Beaver Area SHS,179,137,76.54%,132,73.74%,139,77.65%,2,1.12%,5,2.79%
,127041503,Big Beaver Falls Area SD,0649,Beaver Falls Area SHS,95,58,61.05%,57,60.00%,60,63.16%,2,2.11%,1,1.05%
,127041603,Blackhawk SD,6707,Blackhawk HS,195,162,83.08%,152,77.95%,167,85.64%,5,2.56%,10,5.13%
,127042003,Central Valley SD,8044,Central Valley HS,160,125,78.13%,121,75.63%,129,80.63%,4,2.50%,4,2.50%
,127042853,Freedom Area SD,6563,Freedom Area SHS,104,74,71.15%,74,71.15%,75,72.12%,1,0.96%,0,0.00%
,127043430,Pennsylvania Cyber CS,7650,Pennsylvania Cyber CS,"1,390",785,56.47%,635,45.68%,819,58.92%,34,2.45%,150,10.79%
