county,AUN,LEA,LEA Type,School Number,School,Total Graduates,Total College-Bound,Total College-Bound %,2- or 4-Year College or University,2- or 4-Year College or University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree-Granting Institution,Specialized Associate Degree-Granting Institution %
Adams,112011103,Bermudian Springs SD,SD,0003,Bermudian Springs HS,150,102,68.00,94,62.67,111,74.00,9,6.00,8,5.33
Adams,112011103,Bermudian Springs SD,SD,9999,Bermudian Springs SD,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Adams,112011603,Conewago Valley SD,SD,0017,New Oxford SHS,282,216,76.60,188,66.67,216,76.60,0,0.00,28,9.93
Adams,112011603,Conewago Valley SD,SD,9999,Conewago Valley SD,5,2,40.00,2,40.00,3,60.00,1,20.00,0,0.00
Adams,112013054,Fairfield Area SD,SD,6269,Fairfield Area HS,99,74,74.75,73,73.74,78,78.79,4,4.04,1,1.01
Adams,112013753,Gettysburg Area SD,SD,6271,Gettysburg Area HS,229,177,77.29,166,72.49,183,79.91,6,2.62,11,4.80
Adams,112013753,Gettysburg Area SD,SD,9999,Gettysburg Area SD,3,1,33.33,1,33.33,1,33.33,0,0.00,0,0.00
Adams,112015203,Littlestown Area SD,SD,0014,Littlestown SHS,141,72,51.06,69,48.94,81,57.45,9,6.38,3,2.13
Adams,112015203,Littlestown Area SD,SD,9999,Littlestown Area SD,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Adams,112018523,Upper Adams SD,SD,0021,Biglerville HS,112,86,76.79,76,67.86,88,78.57,2,1.79,10,8.93
Adams,112018523,Upper Adams SD,SD,9999,Upper Adams SD,3,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Allegheny,102020001,City CHS,CS,7727,City CHS,132,108,81.82,97,73.48,108,81.82,0,0.00,11,8.33
Allegheny,102020003,Academy CS,CS,7846,Academy CS,58,21,36.21,21,36.21,28,48.28,7,12.07,0,0.00
Allegheny,102023080,Urban Pathways 6-12 CS,CS,7562,Urban Pathways 6-12 CS,38,37,97.37,34,89.47,37,97.37,0,0.00,3,7.89
Allegheny,102027451,Pittsburgh SD,SD,0409,Pittsburgh Allderdice HS,328,170,51.83,122,37.20,170,51.83,0,0.00,48,14.63
Allegheny,102027451,Pittsburgh SD,SD,0412,Pittsburgh Carrick HS,143,72,50.35,53,37.06,72,50.35,0,0.00,19,13.29
Allegheny,102027451,Pittsburgh SD,SD,0416,Pittsburgh Perry HS,182,83,45.60,60,32.97,83,45.60,0,0.00,23,12.64
Allegheny,102027451,Pittsburgh SD,SD,6047,Pittsburgh Oliver,18,12,66.67,11,61.11,12,66.67,0,0.00,1,5.56
Allegheny,102027451,Pittsburgh SD,SD,6664,Pittsburgh Pioneer,3,2,66.67,2,66.67,2,66.67,0,0.00,0,0.00
Allegheny,102027451,Pittsburgh SD,SD,6811,Pittsburgh Conroy,14,6,42.86,2,14.29,6,42.86,0,0.00,4,28.57
Allegheny,102027451,Pittsburgh SD,SD,6915,Pittsburgh Brashear HS,299,140,46.82,96,32.11,140,46.82,0,0.00,44,14.72
