county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,139,82,58.99%,81,58.27%,87,62.59%,5,3.60%,1,0.72%
,,,9999,Bermudian Springs SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112011603,Conewago Valley SD,0017,New Oxford SHS,289,190,65.74%,190,65.74%,190,65.74%,0,0.00%,0,0.00%
,,,9999,Conewago Valley SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,82,27,32.93%,26,31.71%,27,32.93%,0,0.00%,1,1.22%
,,,9999,Fairfield Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,202,142,70.30%,136,67.33%,154,76.24%,12,5.94%,6,2.97%
,,,9999,Gettysburg Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112015203,Littlestown Area SD,0014,Littlestown SHS,145,92,63.45%,83,57.24%,98,67.59%,6,4.14%,9,6.21%
,,,9999,Littlestown Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,134,92,68.66%,92,68.66%,96,71.64%,4,2.99%,0,0.00%
,,,9999,Upper Adams SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,118,88,74.58%,88,74.58%,92,77.97%,4,3.39%,0,0.00%
,102020003,The New Academy CS,7846,The New Academy CS,18,5,27.78%,5,27.78%,6,33.33%,1,5.56%,0,0.00%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,37,25,67.57%,23,62.16%,28,75.68%,3,8.11%,2,5.41%
,102023217,Passport Academy CS,8308,Passport Academy CS,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,351,51,14.53%,51,14.53%,53,15.10%,2,0.57%,0,0.00%
,,,0412,Pittsburgh Carrick HS,150,17,11.33%,14,9.33%,19,12.67%,2,1.33%,3,2.00%
,,,0416,Pittsburgh Perry HS,90,55,61.11%,52,57.78%,59,65.56%,4,4.44%,3,3.33%
,,,6047,Pittsburgh Oliver,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6664,Pittsburgh Pioneer,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6811,Pittsburgh Conroy,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6915,Pittsburgh Brashear HS,298,22,7.38%,22,7.38%,28,9.40%,6,2.01%,0,0.00%
,,,8105,Pittsburgh Obama 6-12,117,1,0.85%,1,0.85%,1,0.85%,0,0.00%,0,0.00%
,,,8106,Pittsburgh CAPA 6-12,129,106,82.17%,106,82.17%,108,83.72%,2,1.55%,0,0.00%
,,,8107,Pittsburgh Science and Technology Academ,77,1,1.30%,1,1.30%,1,1.30%,0,0.00%,0,0.00%
,,,8110,Pittsburgh Milliones 6-12,45,11,24.44%,11,24.44%,12,26.67%,1,2.22%,0,0.00%
,,,8203,Academy at Westinghouse,85,52,61.18%,51,60.00%,57,67.06%,5,5.88%,1,1.18%
,,,8300,Pittsburgh Online Academy,20,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Pittsburgh SD,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103020002,Propel CS-Homestead,7772,Propel CS-Homestead,29,21,72.41%,21,72.41%,27,93.10%,6,20.69%,0,0.00%
,103020004,Propel CS-Montour,7832,Propel CS-Montour,5,3,60.00%,3,60.00%,5,100.00%,2,40.00%,0,0.00%
,,,9999,Propel CS-Montour,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103020603,Allegheny Valley SD,0029,Springdale JSHS,64,43,67.19%,37,57.81%,43,67.19%,0,0.00%,6,9.38%
,103020753,Avonworth SD,5199,Avonworth HS,114,104,91.23%,104,91.23%,104,91.23%,0,0.00%,0,0.00%
,,,9999,Avonworth SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021003,Pine-Richland SD,0315,Pine-Richland HS,345,278,80.58%,278,80.58%,282,81.74%,4,1.16%,0,0.00%
,,,9999,Pine-Richland SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,364,283,77.75%,283,77.75%,304,83.52%,21,5.77%,0,0.00%
