DistrictName,AUN,2 or More Races,American Indian/Alaskan Native ,Asian ,Black/African American ,Career and Technical Center Name,Career and Technical Center Website,Charter School Enrollment,District Address (City),District Address (State),District Address (Street),District Enrollment,District Name,District Zip Code,Economically Disadvantaged,English Learner,Enrollment in Partnering Career and Technical Center(s),Female,Foster Care,Geographic Size of District (Square Miles),Grades Offered,Hispanic ,Homeless,Intermediate Unit Name,Intermediate Unit Website,Male,Military Connected,Native Hawaiian or other Pacific Islander ,Number of Schools,Percent of Gifted Students,Special Education,Telephone Number,Website,White 
Antietam SD,114060503,5.16,0,0.6,5.51,Berks CTC,http://www.berkscareer.com,33,Reading,PA,100 Antietam Rd Stony Ck Mills,1162,Antietam SD,19606,60.41,7.83,43,47.42,0.09,5.21,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",52.24,1.98,Berks County IU 14,http://www.berksiu.org,52.58,0.52,0,3,2.93,22.89,610-779-0554,http://www.antietamsd.org,36.49
Apollo-Ridge SD,128030603,4.83,0.54,0.27,0.8,Lenape Tech,http://www.lenapetech.net,52,Spring Church,PA,1825 State Route 56,1119,Apollo-Ridge SD,15686,53.62,0,71,46.56,0.63,76.83,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.61,1.16,ARIN IU 28,http://www.iu28.org,53.44,0.8,0,3,2.23,21.18,724-478-6010,http://www.apolloridge.com,91.96
Armstrong SD,128030852,0.9,0.02,0.34,1.39,Lenape Tech,http://www.lenapetech.net,142,Kittanning,PA,181 Heritage Park Drive,4689,Armstrong SD,16201,47.84,0.3,436,49.18,0.83,444.17,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.39,2.52,ARIN IU 28,http://www.iu28.org,50.82,0.43,0,8,2.39,20.17,724-548-7200,http://www.asd.k12.pa.us,95.97
Athens Area SD,117080503,2.13,0.05,1.21,1.74,Northern Tier Career Center,http://www.ntccschool.org,60,Athens,PA,100 Canal Street,2069,Athens Area SD,18810,39,0.68,109,47.9,0.58,183,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",3.38,0.82,BLaST IU 17,http://www.iu17.org,52.1,0.19,0.14,4,1.88,18.9,570-888-7766,http://www.athensasd.k12.pa.us/,91.35
Austin Area SD,109530304,0,0,0,0,Seneca Highlands Career and Technical Center,http://www.iu9.org,,Austin,PA,138 Costello Avenue,171,Austin Area SD,16720,45.61,0.58,20,43.86,0,226.05,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.75,0.58,Seneca Highlands IU 9,http://www.iu9.org,56.14,0,0.58,2,1.17,25.15,814-647-8603,http://www.austinsd.net/,97.66
Avella Area SD,101630504,2.69,0,0,0.41,Western Area CTC,http://www.wactc.net,23,Avella,PA,1000 Avella Rd,483,Avella Area SD,15312,55.28,0,41,45.55,1.66,74.32,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.41,0.62,Intermediate Unit 1,http://www.iu1.org,54.45,0.41,0,2,3.31,20.7,724-356-2218,http://www.avellasd.org,96.48
Avon Grove SD,124150503,1.66,0.08,1.83,1.6,Chester County Technical College HS,http://www.cciu.org,687,West Grove,PA,375 S Jennersville Road,5072,Avon Grove SD,19390,31.23,9.07,281,48.36,0.04,62.72,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",27.78,3.65,Chester County IU 24,http://www.cciu.org,51.64,0.55,0.02,4,2.13,12.5,610-869-2441,http://www.avongrove.org,67.03
Avonworth SD,103020753,4.42,0,2.31,2.05,A W Beattie Career Center,http://www.beattietech.com,22,Pittsburgh,PA,258 Josephs Lane,1947,Avonworth SD,15237,13.51,0.98,74,47.61,0.41,10.78,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.88,0,Allegheny IU 3,http://www.aiu3.net,52.39,0,0.05,4,9.3,14.74,412-369-8738,http://www.avonworth.k12.pa.us,88.29
Bald Eagle Area SD,110141003,2.09,0.33,0.13,1.11,Central PA Institute of Science & Technology,http://www.cpi.edu,64,Wingate,PA,751 S Eagle Valley Rd,1528,Bald Eagle Area SD,16823,42.28,0.13,176,48.23,0.2,341.16,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.31,2.23,Central IU 10,http://www.ciu10.org,51.77,0.33,0.13,5,1.51,18.19,814-355-4860,http://www.beasd.org,94.9
Baldwin-Whitehall SD,103021102,4.86,0.11,22.07,6.01,Steel Center for Career and Technical Education,http://www.steelcentertech.com,82,Pittsburgh,PA,4900 Curry Rd,4544,Baldwin-Whitehall SD,15236,49.16,9.42,136,49.08,0.37,10.78,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.22,0.97,Allegheny IU 3,http://www.aiu3.net,50.92,0.73,0.13,4,3.87,12.68,412-885-7808,http://www.bwschools.net,64.59
Bangor Area SD,120480803,4.54,1.08,0.68,1.73,Career Institute of Technology,http://www.citvt.com,163,Bangor,PA,123 Five Points Richmond Rd,2776,Bangor Area SD,18013,44.13,1.55,137,47.8,0.29,87.18,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",9.11,0.86,Colonial IU 20,http://www.ciu20.org,52.2,0.5,0.04,5,1.73,17.47,610-588-2163,http://www.bangor.k12.pa.us/,82.82
Beaver Area SD,127041203,1.77,0.15,1.42,1.72,Beaver County CTC,http://www.bcctc.org,85,Beaver,PA,1300 Fifth Street,1973,Beaver Area SD,15009,25.24,0.35,57,47.59,0.2,22.46,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.18,0.1,Beaver Valley IU 27,http://www.bviu.org,52.41,1.01,0,4,1.82,11.71,724-774-4010,http://www.basd.k12.pa.us,92.75
Bedford Area SD,108051003,2.63,0.12,0.7,1.11,Bedford County Technical Center,http://www.bedfordctc.org,155,Bedford,PA,330 E John St,1709,Bedford Area SD,15522,46.64,0.41,140,49.27,0.29,291.18,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.7,3.74,Appalachia IU 8,http://www.iu08.org,50.73,0.06,0.06,3,1.29,17.55,814-623-4290,http://www.bedfordasd.org,93.68
Belle Vernon Area SD,107650603,5.66,0.04,2.24,2.79,Central Westmoreland CTC,http://www.cwctc.org,82,Belle Vernon,PA,270 Crest Avenue,2369,Belle Vernon Area SD,15012,49.3,1.27,115,50.11,0.38,43.82,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",3.12,1.14,Westmoreland IU 7,http://www.wiu7.org,49.89,0.46,0,4,1.73,14.61,724-808-2500,http://www.bellevernonarea.net/bvasd/site/default.asp,86.15
Bellefonte Area SD,110141103,3.04,0.5,0.42,0.81,Central PA Institute of Science & Technology,http://www.cpi.edu,183,Bellefonte,PA,318 N Allegheny St,2599,Bellefonte Area SD,16823,28.93,0.92,212,50.02,0.38,116.75,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.46,0.81,Central IU 10,http://www.ciu10.org,49.98,0.23,0,6,1.92,19.08,814-355-4814,http://www.basd.net,92.77
Bellwood-Antis SD,108071003,0.94,0.17,0.6,0.77,Greater Altoona CTC,http://www.gactc.edu,30,Bellwood,PA,300 Martin Street,1166,Bellwood-Antis SD,16617,42.37,0.26,75,46.91,0.26,61.49,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.94,1.37,Appalachia IU 8,http://www.iu08.org,53.09,0,0,3,0.69,19.9,814-742-2271,https://www.blwd.k12.pa.us,96.57
Bensalem Township SD,122091002,3.67,0.27,13.15,13.62,Bucks County Technical High School,http://www.bcths.com,1167,Bensalem,PA,3000 Donallen Dr,6350,Bensalem Township SD,19020,58.61,11.54,261,48.63,0.27,20.92,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",20.61,1.81,Bucks County IU 22,http://www.bucksiu.org,51.37,0.08,0.09,9,3.75,21.86,215-750-2800,http://www.bensalemsd.org,48.58
Benton Area SD,116191004,1.77,0.32,0.32,0.64,Columbia-Montour AVTS,http://www.cmvt.us,17,Benton,PA,600 Green Acres Rd,621,Benton Area SD,17814,51.53,0.16,33,51.21,0.64,97.17,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.58,0.97,Central Susquehanna IU 16,http://www.csiu.org,48.79,0.48,0,3,4.99,19.32,570-925-6651,http://www.bentonsd.k12.pa.us,94.36
Bentworth SD,101630903,4.28,0.1,0.29,1.33,Mon Valley CTC,http://www.monvalleyctc.org,54,Bentleyville,PA,150 Bearcat Drive,1051,Bentworth SD,15314,56.14,0,88,48.53,0.38,59.07,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.86,2,Intermediate Unit 1,http://www.iu1.org,51.47,0,0,3,0.48,19.03,724-239-2861,http://www.bentworth.org,93.15
Berlin Brothersvalley SD,108561003,2.21,0,0,0,Somerset County Technology Center,http://www.sctc.net,14,Berlin,PA,1025 Main St,723,Berlin Brothersvalley SD,15530,41.36,0,49,48.41,0.41,165.02,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.55,1.24,Appalachia IU 8,http://www.iu08.org,51.59,0.14,0,3,1.11,17.84,814-267-4621,http://www.bbsd.com,97.23
Bermudian Springs SD,112011103,3.98,0.06,0.23,0.4,Adams County Technical Institute,http://www.acti-pa.org,101,York Springs,PA,7335 Carlisle Pike,1757,Bermudian Springs SD,17372,36.71,3.3,35,48.95,0.4,75.27,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",14.8,0.51,Lincoln IU 12,http://www.iu12.org,51.05,0,0,3,2.16,10.47,717-528-4113,http://www.bermudian.org,80.54
Berwick Area SD,116191103,2.81,0.08,0.26,2.03,Columbia-Montour AVTS,http://www.cmvt.us,106,Berwick,PA,500 Line St,2665,Berwick Area SD,18603,55.05,2.59,183,49.01,0.53,91.11,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12.87,1.84,Central Susquehanna IU 16,http://www.csiu.org,50.99,0.49,0,5,1.76,19.51,570-759-6400,http://www.berwicksd.org,81.95
Bethel Park SD,103021252,3.5,0.08,4.95,2.21,Steel Center for Career and Technical Education,http://www.steelcentertech.com,70,Bethel Park,PA,301 Church Rd,3939,Bethel Park SD,15102,18.02,1.8,114,48.31,0.15,11.75,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.78,0.36,Allegheny IU 3,http://www.aiu3.net,51.69,0,0.18,8,4.14,18.89,412-833-5000,http://www.bpsd.org/,87.31
Bethlehem Area SD,120481002,1.61,0.21,2.77,10.9,Bethlehem AVTS,http://www.bethlehemavts.org,2076,Bethlehem,PA,1516 Sycamore St,12973,Bethlehem Area SD,18017,60.16,8.06,857,48.02,0.44,42.06,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",45.32,2.28,Colonial IU 20,http://www.ciu20.org,51.98,0,0.19,22,3.72,18.01,610-861-0500,http://www.basdschools.org,39
Bethlehem-Center SD,101631003,3.75,0,0.1,2.53,Mon Valley CTC,http://www.monvalleyctc.org,66,Fredericktown,PA,194 Crawford Rd,987,Bethlehem-Center SD,15333,51.47,0,69,47.72,1.42,55.33,"PreKH, PreKF, K4H, K4F, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.1,0.81,Intermediate Unit 1,http://www.iu1.org,52.28,0.81,0,3,1.32,27.36,724-267-4910,http://www.bcasd.net,93.52
Big Beaver Falls Area SD,127041503,23.23,0.66,0.18,22.51,Beaver County CTC,http://www.bcctc.org,120,Beaver Falls,PA,1503 8th Avenue,1666,Big Beaver Falls Area SD,15010,74.55,1.44,53,48.92,0.12,22.21,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",4.02,3,Beaver Valley IU 27,http://www.bviu.org,51.08,0.84,0.06,4,2.58,23.47,724-843-3470,http://www.tigerweb.org/,49.34
Big Spring SD,115210503,3.93,0,0.66,0.87,Cumberland Perry Area Career & Technical Center,http://www.cpavts.org,159,Newville,PA,45 Mount Rock Rd,2420,Big Spring SD,17241,43.14,0.79,125,48.6,0.29,195.06,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.02,2.31,Capital Area IU 15,http://www.caiu.org,51.4,0.08,0.04,5,3.14,25.17,717-776-2000,http://www.bigspringsd.org,92.48
Blackhawk SD,127041603,3.14,0.17,0.6,1.29,Beaver County CTC,http://www.bcctc.org,70,Beaver Falls,PA,500 Blackhawk Rd,2327,Blackhawk SD,15010,35.71,0.17,80,50.37,0.3,70.79,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.02,0.52,Beaver Valley IU 27,http://www.bviu.org,49.63,4.17,0,4,3.22,16.8,724-846-6600,http://www.bsd.k12.pa.us,92.78
Blacklick Valley SD,108110603,2.63,0,0.33,0.82,Admiral Peary AVTS,https://www.ap.tec.pa.us,26,Nanty Glo,PA,555 Birch St,608,Blacklick Valley SD,15943,52.63,0.66,80,47.37,0,33.54,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.82,5.1,Appalachia IU 8,http://www.iu08.org,52.63,1.15,0,2,0.82,23.85,814-749-9211,http://www.bvsd.k12.pa.us,95.39
Blairsville-Saltsburg SD,128321103,3.71,0.28,0.49,1.75,Indiana County Technology Center,http://www.ictc.edu,65,Blairsville,PA,102 School Lane,1430,River Valley SD,15717,45.87,0.14,60,45.87,0.49,110.85,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.73,1.47,ARIN IU 28,http://www.iu28.org,54.13,0,0.07,4,3.08,18.67,724-459-5500,http://www.rvsdpa.org,90.98
Bloomsburg Area SD,116191203,4.82,0.13,1.63,4.5,Columbia-Montour AVTS,http://www.cmvt.us,49,Bloomsburg,PA,728 E 5th St,1534,Bloomsburg Area SD,17815,46.94,1.69,98,47.07,0.13,84.63,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",7.3,1.5,Central Susquehanna IU 16,http://www.csiu.org,52.93,0,0.07,5,1.5,13.36,570-784-5000,http://bloomsburgasd.schoolwires.com/site/default.aspx?PageID=1,81.55
Blue Mountain SD,129540803,2.2,0.04,0.77,0.77,Schuylkill Technology Centers,http://www.stcenters.org,113,Orwigsburg,PA,685 Red Dale Rd,2455,Blue Mountain SD,17961,33.44,0.45,66,46.84,0.69,123.21,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",4.85,1.14,Schuylkill IU 29,http://www.iu29.org,53.16,0.94,0.04,4,3.5,22.32,570-366-0515,http://www.bmsd.org,91.32
Blue Ridge SD,119581003,2.58,0.1,0.4,1.09,Susquehanna County CTC,http://www.scctc-school.org,26,New Milford,PA,5150 School Road,1007,Blue Ridge SD,18834,46.08,0.99,18,49.16,0.89,110.53,"K4H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",3.48,0.7,Northeastern Educational IU 19,http://www.iu19.org,50.84,0.79,0,3,0.6,19.86,570-465-3141,http://www.brsd.org,92.35
Boyertown Area SD,114060753,2.84,0.11,1.91,3.16,Berks CTC,http://www.berkscareer.com,242,Boyertown,PA,911 Montgomery Ave,6653,Boyertown Area SD,19512,32.96,0.47,253,48.79,0.27,97.94,"PreKH, PreKF, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",6.27,0.5,Berks County IU 14,http://www.berksiu.org,51.21,0,0.06,9,3.74,22.31,610-367-6031,http://www.boyertownasd.org/,85.66
Bradford Area SD,109420803,3.01,0.37,0.25,1.44,Not Available,Not Available,57,Bradford,PA,150 Lorana Ave,2429,Bradford Area SD,16701,67.27,0.41,,49.32,0.99,253.52,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.8,2.76,Seneca Highlands IU 9,http://www.iu9.org,50.68,0.37,0.21,4,1.24,18.2,814-362-3841,http://www.bradfordareaschools.org,91.93
Brandywine Heights Area SD,114060853,3.12,0,0.86,1.25,Berks CTC,http://www.berkscareer.com,38,Topton,PA,200 W Weis St,1283,Brandywine Heights Area SD,19562,30.01,0.94,92,48.32,0.31,52.17,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",5.77,1.17,Berks County IU 14,http://www.berksiu.org,51.68,0,0,3,3.59,22.37,610-682-5100,http://www.bhasd.org,89.01
Brentwood Borough SD,103021453,7.25,0.09,8.12,10.88,Steel Center for Career and Technical Education,http://www.steelcentertech.com,52,Pittsburgh,PA,3601 Brownsville Rd,1158,Brentwood Borough SD,15227,62.09,6.3,65,46.2,0.69,1.45,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",6.22,0.95,Allegheny IU 3,http://www.aiu3.net,53.8,0.78,0.35,4,1.99,12.95,412-881-2227,http://www.bb-sd.com,67.1
Bristol Borough SD,122091303,11.11,0.09,1.2,14.96,Bucks County Technical High School,http://www.bcths.com,63,Bristol,PA,1776 Farragut Avenue,1170,Bristol Borough SD,19007,74.27,2.39,55,46.75,0.34,1.85,"PreKH, PreKF, K4H, K4F, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",23.59,3.16,Bucks County IU 22,http://www.bucksiu.org,53.25,0.34,0.17,3,3.33,21.45,215-781-1000,http://www.bbsd.org,48.89
Bristol Township SD,122091352,11.42,0.41,2.5,15.85,Bucks County Technical High School,http://www.bcths.com,449,Levittown,PA,5 Blue Lake Rd,6087,Bristol Township SD,19057,66.37,5.37,422,48.64,0.66,17.2,"PreKH, PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.87,2.23,Bucks County IU 22,http://www.bucksiu.org,51.36,0,0.13,6,1.1,21.69,215-943-3200,http://www.btsd.us/,53.82
Brockway Area SD,106330703,0.45,0,0.22,0.22,Jefferson County-DuBois AVTS,http://jefftech.info,9,Brockway,PA,40 North St,890,Brockway Area SD,15824,47.3,0,48,52.02,0.79,130.4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.67,0.9,Riverview IU 6,http://www.riu6.org,47.98,0.22,0,2,2.81,16.07,814-265-8411,http://www.brockway.k12.pa.us,98.43
Brookville Area SD,106330803,1.39,0.07,0.66,0.22,Jefferson County-DuBois AVTS,http://jefftech.info,41,Brookville,PA,104 Jenks Street,1364,Brookville Area SD,15825,51.83,0.37,86,47.65,0.66,262.95,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.1,1.69,Riverview IU 6,http://www.riu6.org,52.35,1.69,0,4,1.98,17.45,814-849-1100,http://www.basd.us,96.55
Brownsville Area SD,101260803,10.63,0.34,0.13,9.22,Fayette County Career & Technical Institute,http://www.fayettecti.org,92,Brownsville,PA,5 Falcon Drive,1486,Brownsville Area SD,15417,67.16,0.2,99,46.97,0.54,56.66,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.48,0.67,Intermediate Unit 1,http://www.iu1.org,53.03,0,0.07,3,1.28,22.54,724-785-2021,http://www.basd.org,78.13
Burgettstown Area SD,101631203,4.55,0,0.3,1.01,Western Area CTC,http://www.wactc.net,63,Burgettstown,PA,100 Bavington Rd,990,Burgettstown Area SD,15021,46.16,0,49,49.6,1.01,105.34,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.11,1.21,Intermediate Unit 1,http://www.iu1.org,50.4,0.4,0.1,2,0.81,21.31,724-947-8136,http://www.burgettstown.k12.pa.us,92.93
Burrell SD,107650703,4.74,0,0.46,1.94,Northern Westmoreland CTC,http://www.nwctc.k12.pa.us,28,Lower Burrell,PA,1021 Puckety Church Rd,1750,Burrell SD,15068,40.34,0.11,102,49.37,0.34,26.65,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.66,0.46,Westmoreland IU 7,http://www.wiu7.org,50.63,0.34,0.06,4,2.46,15.71,724-334-1406,http://www.burrell.k12.pa.us,91.14
Butler Area SD,104101252,3.35,0.31,0.25,2,Butler County AVTS,http://www.butlertec.us,250,Butler,PA,110 Campus Lane,6058,Butler Area SD,16001,47.74,0.4,457,47.97,0.76,144.24,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.38,2.61,Midwestern IU 4,http://www.miu4.org,52.03,0,0.05,9,3.99,20.72,724-287-8721,https://www.basdk12.org,91.66
California Area SD,101631503,6.62,0.22,0.11,5.53,Mon Valley CTC,http://www.monvalleyctc.org,26,Coal Center,PA,40 Trojan Way,922,California Area SD,15423,59.11,0,77,49.24,0.22,34.58,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.95,0.54,Intermediate Unit 1,http://www.iu1.org,50.76,0.33,0.11,3,1.84,17.9,724-785-5800,http://www.calsd.org,85.47
Cambria Heights SD,108111203,1.79,0.08,0.16,0.31,Admiral Peary AVTS,https://www.ap.tec.pa.us,20,Patton,PA,426 Glendale Lake Rd,1283,Cambria Heights SD,16668,49.57,0.23,117,49.1,0.16,111.07,"PreKH, PreKF, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.86,0.62,Appalachia IU 8,http://www.iu08.org,50.9,0.16,0.16,3,2.59,15.82,814-674-3626,http://www.chsd1.org,96.65
Cameron County SD,109122703,1.69,0,1.32,0,Seneca Highlands Career and Technical Center,http://www.iu9.org,27,Emporium,PA,601 Woodland Ave,531,Cameron County SD,15834,66.29,0.75,21,46.14,1.13,398.42,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2.64,2.26,Seneca Highlands IU 9,http://www.iu9.org,53.86,0,0.19,2,0.19,18.08,814-486-4000,http://www.camcosd.org/,94.16
Camp Hill SD,115211003,5.65,0.08,3.91,2.74,Cumberland Perry Area Career & Technical Center,http://www.cpavts.org,31,Camp Hill,PA,418 South 24th St,1203,Camp Hill SD,17011,19.62,3.57,36,48.55,0,2.12,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",10.22,0.5,Capital Area IU 15,http://www.caiu.org,51.45,2.33,0,4,4.82,12.14,717-901-2400,http://www.camphillsd.k12.pa.us/,77.39
